Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,1.514682,1.555251,1.314420,1.371486,1.371486,335009174
2021-05-11,1.371032,1.476457,1.326154,1.476457,1.476457,287839468
2021-05-12,1.473680,1.499038,1.251076,1.251076,1.251076,321798109
2021-05-13,1.273065,1.451604,1.214443,1.352792,1.352792,725615046
2021-05-14,1.350932,1.488176,1.324055,1.468776,1.468776,630774902
2021-05-15,1.476045,1.530040,1.374182,1.383846,1.383846,854335171
2021-05-16,1.384631,1.539227,1.337097,1.400199,1.400199,777139501
2021-05-17,1.397064,1.409709,1.259696,1.285366,1.285366,599008623
2021-05-18,1.283652,1.394368,1.260132,1.366016,1.366016,283640580
2021-05-19,1.366647,1.386522,0.781355,0.943497,0.943497,745296374
2021-05-20,0.934791,1.120687,0.842253,1.113160,1.113160,500925682
2021-05-21,1.110617,1.147515,0.848973,0.980976,0.980976,373908985
2021-05-22,0.980688,1.013796,0.860602,0.974528,0.974528,279484690
2021-05-23,0.975686,1.041067,0.680273,0.825903,0.825903,400419290
2021-05-24,0.820081,1.004674,0.805557,0.977903,0.977903,279993645
2021-05-25,0.979180,1.016518,0.871157,0.976358,0.976358,275502086
2021-05-26,0.976564,1.060451,0.955914,1.024055,1.024055,239788448
2021-05-27,1.023938,1.032938,0.938553,0.968786,0.968786,176319855
2021-05-28,0.972081,0.986041,0.848383,0.898697,0.898697,208004226
2021-05-29,0.899070,0.930346,0.792080,0.829413,0.829413,154815885
2021-05-30,0.829683,0.891098,0.783026,0.850180,0.850180,129345362
2021-05-31,0.849049,0.938536,0.815533,0.937608,0.937608,153097289
2021-06-01,0.936278,0.951546,0.878200,0.894697,0.894697,133679913
2021-06-02,0.895606,1.065850,0.873936,1.018265,1.018265,227605338
2021-06-03,1.019219,1.150692,1.007074,1.109922,1.109922,261940947
2021-06-04,1.110304,1.132995,0.974980,1.028761,1.028761,212802161
2021-06-05,1.029434,1.090524,0.954024,0.976601,0.976601,166177746
2021-06-06,0.976677,1.025094,0.965070,1.024901,1.024901,96681126
2021-06-07,1.025469,1.089763,0.950475,0.955256,0.955256,146431918
2021-06-08,0.962890,0.975858,0.859379,0.943442,0.943442,196320510
2021-06-09,0.940639,1.138997,0.909557,1.046551,1.046551,418558065
2021-06-10,1.039684,1.050183,0.976552,1.043920,1.043920,222571007
2021-06-11,1.046959,1.079830,0.958244,0.971232,0.971232,255879712
2021-06-12,0.973392,1.009646,0.912042,0.986114,0.986114,159921893
2021-06-13,0.989219,1.066220,0.965841,1.040552,1.040552,136521765
2021-06-14,1.040802,1.099933,1.026292,1.086212,1.086212,149481412
2021-06-15,1.071222,1.093500,1.025752,1.071182,1.071182,148619890
2021-06-16,1.032748,1.056419,0.999902,1.015972,1.015972,119611912
2021-06-17,1.016435,1.082524,1.013839,1.065078,1.065078,127908053
2021-06-18,1.064955,1.091477,0.962106,0.985029,0.985029,130207925
2021-06-19,0.992001,0.993211,0.936729,0.940408,0.940408,100230103
2021-06-20,0.937919,0.952060,0.879249,0.936015,0.936015,109046816
2021-06-21,0.934155,0.941210,0.753571,0.755001,0.755001,182298195
2021-06-22,0.754357,0.850263,0.674374,0.743265,0.743265,255594309
2021-06-23,0.742421,0.870356,0.715604,0.833009,0.833009,180063286
2021-06-24,0.833365,0.894383,0.797927,0.871621,0.871621,108344761
2021-06-25,0.873840,0.898180,0.780338,0.796802,0.796802,131160750
2021-06-26,0.794360,0.824713,0.762716,0.809688,0.809688,110721191
2021-06-27,0.810582,0.840102,0.774163,0.834954,0.834954,107192864
2021-06-28,0.834784,0.863809,0.823387,0.840484,0.840484,101244529
2021-06-29,0.842529,0.924159,0.840516,0.884960,0.884960,117959912
2021-06-30,0.888413,0.909431,0.835580,0.882368,0.882368,110681793
2021-07-01,0.882348,0.882348,0.812718,0.838504,0.838504,131847576
2021-07-02,0.834966,0.846557,0.801541,0.846273,0.846273,74731232
2021-07-03,0.846449,0.885047,0.836517,0.876621,0.876621,63127362
2021-07-04,0.876955,0.912380,0.857852,0.879841,0.879841,64314668
2021-07-05,0.880379,0.891977,0.842865,0.874267,0.874267,72739472
2021-07-06,0.874110,0.931901,0.872682,0.913978,0.913978,88777773
2021-07-07,0.912788,0.939955,0.902854,0.905079,0.905079,74920879
2021-07-08,0.906758,0.907210,0.848039,0.869344,0.869344,74399983
2021-07-09,0.866883,0.930404,0.828884,0.905238,0.905238,109740119
2021-07-10,0.905667,0.921650,0.869570,0.891908,0.891908,58773601
2021-07-11,0.892469,0.919087,0.885734,0.892433,0.892433,55878459
2021-07-12,0.892850,0.904212,0.851241,0.870143,0.870143,58111585
2021-07-13,0.868646,0.897326,0.849489,0.873876,0.873876,61289195
2021-07-14,0.874792,0.880479,0.824191,0.858836,0.858836,68797018
2021-07-15,0.858808,0.879093,0.820416,0.831208,0.831208,61935014
2021-07-16,0.833795,0.850892,0.775055,0.784993,0.784993,75971455
2021-07-17,0.783916,0.806131,0.774098,0.784692,0.784692,58948770
2021-07-18,0.784773,0.813560,0.775799,0.799911,0.799911,50135048
2021-07-19,0.799155,0.807062,0.747568,0.749254,0.749254,57986028
2021-07-20,0.749791,0.764641,0.677779,0.697207,0.697207,101517725
2021-07-21,0.695598,0.782257,0.682323,0.765601,0.765601,72874105
2021-07-22,0.768653,0.799429,0.755022,0.797338,0.797338,69932093
2021-07-23,0.796316,0.815573,0.772050,0.807986,0.807986,59929789
2021-07-24,0.807521,0.846592,0.804714,0.828798,0.828798,63918498
2021-07-25,0.827172,0.906492,0.796666,0.890030,0.890030,104461200
2021-07-26,0.890322,0.933137,0.840910,0.850768,0.850768,144363816
2021-07-27,0.848666,0.871382,0.819015,0.854212,0.854212,74703385
2021-07-28,0.857113,0.871397,0.828968,0.842405,0.842405,69584465
2021-07-29,0.846007,0.854811,0.825988,0.845518,0.845518,51426799
2021-07-30,0.846352,0.854124,0.809902,0.852903,0.852903,69711314
2021-07-31,0.853194,0.854965,0.822157,0.841249,0.841249,73099269
2021-08-01,0.837404,0.876739,0.803646,0.814141,0.814141,83887687
2021-08-02,0.812790,0.840047,0.801646,0.817776,0.817776,60873000
2021-08-03,0.817944,0.836636,0.790933,0.816772,0.816772,60751767
2021-08-04,0.818933,0.840902,0.802628,0.827781,0.827781,65385450
2021-08-05,0.828563,0.859534,0.813909,0.851273,0.851273,81805489
2021-08-06,0.850808,0.869105,0.823293,0.854019,0.854019,84440081
2021-08-07,0.855002,0.894614,0.846732,0.875499,0.875499,135880825
2021-08-08,0.876268,0.885387,0.817713,0.825421,0.825421,98505146
2021-08-09,0.825115,0.870794,0.804667,0.855411,0.855411,94570598
2021-08-10,0.856764,0.909009,0.838931,0.882651,0.882651,120886357
2021-08-11,0.883155,0.970307,0.878441,0.912203,0.912203,197509572
2021-08-12,0.912307,0.965392,0.855427,0.882887,0.882887,189841237
2021-08-13,0.884922,0.956126,0.872215,0.954636,0.954636,158827250
2021-08-14,0.954834,0.978982,0.914322,0.932215,0.932215,179265801
2021-08-15,0.932650,1.023643,0.925940,0.996451,0.996451,210688257
2021-08-16,0.995756,1.026813,0.937810,0.949383,0.949383,197756775
2021-08-17,0.945497,0.992729,0.881542,0.884725,0.884725,190876154
2021-08-18,0.883840,0.962762,0.855820,0.924821,0.924821,174784912
2021-08-19,0.922644,1.071433,0.913367,1.044498,1.044498,369264543
2021-08-20,1.044279,1.153408,1.039739,1.138164,1.138164,366283170
2021-08-21,1.138510,1.221736,1.094261,1.147098,1.147098,358551641
2021-08-22,1.149166,1.243796,1.122116,1.158165,1.158165,267624428
2021-08-23,1.158063,1.186826,1.110408,1.159325,1.159325,203668605
2021-08-24,1.159540,1.159708,1.016382,1.037633,1.037633,252498295
2021-08-25,1.040040,1.079667,1.001998,1.063080,1.063080,206911229
2021-08-26,1.065292,1.075627,0.975324,0.989957,0.989957,170261170
2021-08-27,0.990587,1.065107,0.961722,1.065107,1.065107,171164127
2021-08-28,1.066114,1.073236,1.023507,1.036796,1.036796,139083948
2021-08-29,1.038342,1.066791,1.000623,1.021523,1.021523,138083109
2021-08-30,1.022681,1.093534,0.978783,1.018990,1.018990,203189086
2021-08-31,1.019756,1.168318,1.004425,1.116988,1.116988,374694037
2021-09-01,1.115751,1.184634,1.080198,1.158855,1.158855,304393969
2021-09-02,1.158905,1.177718,1.126160,1.145885,1.145885,184582918
2021-09-03,1.145540,1.268932,1.110254,1.220743,1.220743,385617547
2021-09-04,1.218734,1.238598,1.192475,1.207556,1.207556,259993218
2021-09-05,1.208489,1.350057,1.183209,1.316672,1.316672,347343446
2021-09-06,1.314261,1.486014,1.295003,1.467940,1.467940,563500077
2021-09-07,1.462107,1.516561,1.042347,1.266267,1.266267,751895689
2021-09-08,1.267919,1.956287,1.234703,1.923749,1.923749,3367355549
2021-09-09,1.952146,2.481387,1.682159,2.312248,2.312248,4812069645
2021-09-10,2.300817,2.425273,1.848497,2.004593,2.004593,2596891056
2021-09-11,2.011204,2.283551,1.970102,1.983835,1.983835,1798923049
2021-09-12,1.994779,2.470806,1.911498,2.379480,2.379480,2164056922
2021-09-13,2.381145,2.544702,1.976941,2.157169,2.157169,2298346470
2021-09-14,2.163548,2.252638,1.988922,2.037281,2.037281,1149444799
2021-09-15,2.037329,2.085285,2.002210,2.015922,2.015922,727448265
2021-09-16,2.014629,2.221954,1.867661,2.039316,2.039316,1313291453
2021-09-17,2.039434,2.155976,1.900513,1.920465,1.920465,893672200
2021-09-18,1.921644,2.126689,1.896554,2.072211,2.072211,811391354
2021-09-19,2.067090,2.151182,1.944314,1.973453,1.973453,745020454
2021-09-20,1.973364,1.975591,1.554173,1.650480,1.650480,1094994134
2021-09-21,1.671690,1.823032,1.530708,1.574855,1.574855,837282638
2021-09-22,1.573031,1.893343,1.548955,1.842124,1.842124,794461325
2021-09-23,1.845113,2.050285,1.791806,2.005741,2.005741,904383367
2021-09-24,2.004822,2.005732,1.696169,1.788689,1.788689,883429431
2021-09-25,1.787645,1.812733,1.696783,1.733007,1.733007,502973449
2021-09-26,1.732647,1.777510,1.570411,1.773634,1.773634,565724981
2021-09-27,1.781787,1.852932,1.670282,1.674183,1.674183,667754720
2021-09-28,1.675228,1.718680,1.554216,1.561947,1.561947,535757746
2021-09-29,1.566934,1.749660,1.551558,1.605074,1.605074,535584347
2021-09-30,1.607103,1.659759,1.574318,1.628595,1.628595,490314234
2021-10-01,1.627095,1.811597,1.596160,1.774298,1.774298,624507474
2021-10-02,1.773578,1.882786,1.711804,1.777467,1.777467,602938373
2021-10-03,1.772787,1.996920,1.733641,1.987661,1.987661,827903086
2021-10-04,1.984018,2.092853,1.890626,1.933079,1.933079,1167834065
2021-10-05,1.937360,2.060342,1.923055,1.953356,1.953356,633197149
2021-10-06,1.951910,1.986897,1.786259,1.819466,1.819466,686265672
2021-10-07,1.815093,1.933960,1.754492,1.888237,1.888237,641358610
2021-10-08,1.889970,1.998362,1.880333,1.899197,1.899197,596084288
2021-10-09,1.895870,1.947883,1.865495,1.890509,1.890509,327236003
2021-10-10,1.891820,1.892179,1.762212,1.771453,1.771453,276716327
2021-10-11,1.768067,1.833448,1.680078,1.717525,1.717525,307108559
2021-10-12,1.717085,1.754366,1.608586,1.744901,1.744901,411949621
2021-10-13,1.746279,1.844707,1.692659,1.838683,1.838683,356995291
2021-10-14,1.837135,1.880034,1.780301,1.804155,1.804155,337223002
2021-10-15,1.809252,1.809252,1.732818,1.752944,1.752944,327662647
2021-10-16,1.753223,1.847857,1.735609,1.796759,1.796759,353041362
2021-10-17,1.796793,1.889162,1.726620,1.768144,1.768144,363795236
2021-10-18,1.769118,1.786475,1.715696,1.736743,1.736743,212462805
2021-10-19,1.737732,1.767561,1.686497,1.711154,1.711154,221010508
2021-10-20,1.710717,1.821373,1.688107,1.788533,1.788533,274389721
2021-10-21,1.789693,1.883407,1.756623,1.782411,1.782411,438671617
2021-10-22,1.784393,1.938168,1.772550,1.859406,1.859406,534119389
2021-10-23,1.859549,1.943056,1.847948,1.910205,1.910205,343212664
2021-10-24,1.910233,1.919486,1.782475,1.816633,1.816633,265679600
2021-10-25,1.815521,2.072838,1.808488,2.043943,2.043943,549366780
2021-10-26,2.048037,2.099178,1.951753,2.037904,2.037904,632762093
2021-10-27,2.041633,2.086174,1.706375,1.788678,1.788678,726406070
2021-10-28,1.788891,1.879895,1.755066,1.848400,1.848400,504296756
2021-10-29,1.846610,1.914176,1.836299,1.870480,1.870480,392802835
2021-10-30,1.875138,1.876264,1.788921,1.819644,1.819644,258239743
2021-10-31,1.820925,1.857766,1.758338,1.828690,1.828690,291738506
2021-11-01,1.828744,1.866444,1.779768,1.833672,1.833672,285592980
2021-11-02,1.832943,1.909099,1.831422,1.861833,1.861833,310956867
2021-11-03,1.862514,1.972472,1.826995,1.927815,1.927815,466342620
2021-11-04,1.926253,1.959828,1.821810,1.858965,1.858965,360452517
2021-11-05,1.861968,1.914220,1.832043,1.848338,1.848338,257097471
2021-11-06,1.845920,1.868012,1.780585,1.836958,1.836958,215086025
2021-11-07,1.838010,1.872678,1.821936,1.865430,1.865430,189001016
2021-11-08,1.867662,2.075135,1.839525,2.053813,2.053813,598547948
2021-11-09,2.048210,2.056517,1.934151,1.944144,1.944144,430282326
2021-11-10,1.945691,2.288544,1.843909,1.934534,1.934534,1096601258
2021-11-11,1.935207,2.057811,1.877416,2.031259,2.031259,726397489
