Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,1.418436,1.462822,1.340453,1.414283,1.414283,516511095
2021-05-10,1.411617,1.493425,1.265162,1.315342,1.315342,550366837
2021-05-11,1.312152,1.393801,1.262434,1.393801,1.393801,477473046
2021-05-12,1.395766,1.416032,1.178301,1.178301,1.178301,521257242
2021-05-13,1.185737,1.251959,1.120490,1.192187,1.192187,566015006
2021-05-14,1.191619,1.248656,1.185083,1.218950,1.218950,443952069
2021-05-15,1.219119,1.226239,1.135018,1.138461,1.138461,584558659
2021-05-16,1.138407,1.236368,1.086822,1.140828,1.140828,326374144
2021-05-17,1.140878,1.142845,1.025341,1.062899,1.062899,407141277
2021-05-18,1.063362,1.141873,1.056354,1.106753,1.106753,355358885
2021-05-19,1.108266,1.117504,0.569427,0.761587,0.761587,579473040
2021-05-20,0.754996,0.915377,0.679951,0.877552,0.877552,372185755
2021-05-21,0.877236,0.918853,0.664354,0.760354,0.760354,361403858
2021-05-22,0.760040,0.765892,0.663057,0.682625,0.682625,291103834
2021-05-23,0.683281,0.708187,0.455348,0.562630,0.562630,329872367
2021-05-24,0.559931,0.743258,0.552658,0.724860,0.724860,285868019
2021-05-25,0.726327,0.770119,0.665868,0.737628,0.737628,266387451
2021-05-26,0.737841,0.887354,0.735888,0.887354,0.887354,297763922
2021-05-27,0.888631,0.928798,0.797681,0.842559,0.842559,339188622
2021-05-28,0.844341,0.854432,0.710021,0.747823,0.747823,326315733
2021-05-29,0.748627,0.786762,0.650593,0.683588,0.683588,258117244
2021-05-30,0.683380,0.738400,0.646294,0.704886,0.704886,208866040
2021-05-31,0.704641,0.766654,0.674561,0.766654,0.766654,212025920
2021-06-01,0.766629,0.773859,0.726423,0.747465,0.747465,222070816
2021-06-02,0.747215,0.836191,0.735827,0.797843,0.797843,261311929
2021-06-03,0.798273,0.849219,0.790962,0.829830,0.829830,232103439
2021-06-04,0.830227,0.830391,0.730558,0.761746,0.761746,270359039
2021-06-05,0.762634,0.818084,0.725454,0.750958,0.750958,244298466
2021-06-06,0.751683,0.769600,0.744649,0.762233,0.762233,185499002
2021-06-07,0.762319,0.790626,0.698250,0.700338,0.700338,229751321
2021-06-08,0.701057,0.712441,0.616236,0.672407,0.672407,243396903
2021-06-09,0.670938,0.701350,0.639990,0.701350,0.701350,207647582
2021-06-10,0.702380,0.707076,0.649843,0.664923,0.664923,184662346
2021-06-11,0.665119,0.716212,0.642457,0.647644,0.647644,235080907
2021-06-12,0.648195,0.648268,0.598713,0.618314,0.618314,204259822
2021-06-13,0.619067,0.656194,0.602430,0.646283,0.646283,116819006
2021-06-14,0.646298,0.675442,0.637178,0.655455,0.655455,113372942
2021-06-15,0.706829,0.722919,0.666977,0.713444,0.713444,168083995
2021-06-16,0.690847,0.690847,0.653823,0.657921,0.657921,193760864
2021-06-17,0.657744,0.688385,0.647759,0.658640,0.658640,180989529
2021-06-18,0.659175,0.659175,0.598456,0.612029,0.612029,202069614
2021-06-19,0.612628,0.627328,0.596582,0.601875,0.601875,154684941
2021-06-20,0.600928,0.606105,0.568498,0.599055,0.599055,187929673
2021-06-21,0.598464,0.601033,0.502315,0.511772,0.511772,190896208
2021-06-22,0.511987,0.530909,0.434392,0.483397,0.483397,223727586
2021-06-23,0.483320,0.566046,0.470845,0.563994,0.563994,165022239
2021-06-24,0.550534,0.578457,0.529082,0.571276,0.571276,146904059
2021-06-25,0.571806,0.590239,0.514546,0.522420,0.522420,178364512
2021-06-26,0.521240,0.530174,0.490464,0.509488,0.509488,164285461
2021-06-27,0.509936,0.541196,0.503226,0.540312,0.540312,138423670
2021-06-28,0.540867,0.567750,0.532612,0.556589,0.556589,150231735
2021-06-29,0.557034,0.617619,0.556819,0.584957,0.584957,170041181
2021-06-30,0.586425,0.613600,0.565298,0.613600,0.613600,173739692
2021-07-01,0.613945,0.617119,0.564474,0.582178,0.582178,153912187
