Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,0.147202,0.148045,0.137432,0.144765,0.144765,103294294
2021-05-10,0.144787,0.151545,0.114814,0.128476,0.128476,134176142
2021-05-11,0.128272,0.133213,0.123545,0.132594,0.132594,79982380
2021-05-12,0.132413,0.142327,0.110172,0.110172,0.110172,108369466
2021-05-13,0.108907,0.125102,0.101525,0.115738,0.115738,140047678
2021-05-14,0.115631,0.125021,0.114815,0.119481,0.119481,104509131
2021-05-15,0.119241,0.121090,0.106145,0.107597,0.107597,130837035
2021-05-16,0.107744,0.118949,0.101332,0.111793,0.111793,141878864
2021-05-17,0.111666,0.115039,0.096969,0.101035,0.101035,125904054
2021-05-18,0.100960,0.109111,0.099204,0.108595,0.108595,70691639
2021-05-19,0.108607,0.109751,0.050741,0.074081,0.074081,153016819
2021-05-20,0.073433,0.102505,0.066610,0.090708,0.090708,133650638
2021-05-21,0.090184,0.094004,0.061769,0.077008,0.077008,91519730
2021-05-22,0.077391,0.079269,0.067324,0.070642,0.070642,54715748
2021-05-23,0.070687,0.073404,0.049861,0.062407,0.062407,88236151
2021-05-24,0.062254,0.073117,0.061132,0.071277,0.071277,62210935
2021-05-25,0.071377,0.074841,0.063346,0.069158,0.069158,51843780
2021-05-26,0.069306,0.078764,0.068010,0.078571,0.078571,68619416
2021-05-27,0.078693,0.078728,0.068861,0.070441,0.070441,60368753
2021-05-28,0.070526,0.071045,0.056980,0.061328,0.061328,59732040
2021-05-29,0.061173,0.064890,0.054071,0.058859,0.058859,38702764
2021-05-30,0.059018,0.064115,0.054953,0.060412,0.060412,31143843
2021-05-31,0.060430,0.066449,0.058070,0.066449,0.066449,39457342
2021-06-01,0.066371,0.071020,0.064550,0.066014,0.066014,55551955
2021-06-02,0.066043,0.074537,0.064173,0.072036,0.072036,54912371
2021-06-03,0.072090,0.078537,0.069042,0.076876,0.076876,104229008
2021-06-04,0.076928,0.076947,0.061871,0.067541,0.067541,56735764
2021-06-05,0.067533,0.071194,0.061553,0.064626,0.064626,39692586
2021-06-06,0.064653,0.067845,0.064236,0.065840,0.065840,23661064
2021-06-07,0.065771,0.074841,0.059875,0.060394,0.060394,85936529
2021-06-08,0.060569,0.063062,0.052558,0.061930,0.061930,67527939
2021-06-09,0.061605,0.065986,0.058024,0.065986,0.065986,61337701
2021-06-10,0.065853,0.066035,0.058273,0.060020,0.060020,36098092
2021-06-11,0.059896,0.064285,0.055097,0.056319,0.056319,39537618
2021-06-12,0.056473,0.061920,0.052475,0.053552,0.053552,61751876
2021-06-13,0.053457,0.060005,0.052584,0.057997,0.057997,45864244
2021-06-14,0.057892,0.059613,0.056599,0.059223,0.059223,43978429
2021-06-15,0.058931,0.061949,0.056877,0.059928,0.059928,33265838
2021-06-16,0.058102,0.058577,0.054132,0.055238,0.055238,23360468
2021-06-17,0.055355,0.057557,0.053682,0.055623,0.055623,24325459
2021-06-18,0.055739,0.055962,0.048277,0.050621,0.050621,40980538
2021-06-19,0.050701,0.051760,0.048820,0.049400,0.049400,22371866
2021-06-20,0.049224,0.050959,0.045051,0.049938,0.049938,28948009
2021-06-21,0.049677,0.050242,0.037646,0.038145,0.038145,39832272
2021-06-22,0.037988,0.042136,0.031958,0.038716,0.038716,54133510
2021-06-23,0.038887,0.045533,0.036880,0.042976,0.042976,37914978
2021-06-24,0.043833,0.046377,0.040387,0.044475,0.044475,27189800
2021-06-25,0.044436,0.046564,0.039292,0.039926,0.039926,25426396
2021-06-26,0.039655,0.042138,0.038862,0.041634,0.041634,21459361
2021-06-27,0.041725,0.042708,0.039468,0.042583,0.042583,19440783
2021-06-28,0.042678,0.045125,0.042052,0.043759,0.043759,22195925
2021-06-29,0.043849,0.048689,0.043749,0.047139,0.047139,27225776
2021-06-30,0.047289,0.048529,0.044498,0.048512,0.048512,26956692
2021-07-01,0.048569,0.048678,0.043518,0.044961,0.044961,19599180
2021-07-02,0.044992,0.045496,0.042394,0.044698,0.044698,18006770
2021-07-03,0.044705,0.046084,0.043532,0.045258,0.045258,17619310
2021-07-04,0.045259,0.046708,0.043574,0.045635,0.045635,20237875
2021-07-05,0.045733,0.046145,0.042532,0.043608,0.043608,22887161
2021-07-06,0.043472,0.045729,0.043419,0.044312,0.044312,19621293
2021-07-07,0.044200,0.047081,0.043549,0.044126,0.044126,26737044
2021-07-08,0.044346,0.044538,0.040124,0.040875,0.040875,25129197
2021-07-09,0.040933,0.042433,0.039134,0.041888,0.041888,16793077
2021-07-10,0.041774,0.042739,0.039851,0.040717,0.040717,16440548
2021-07-11,0.040677,0.043058,0.040369,0.041519,0.041519,16033864
2021-07-12,0.041557,0.042739,0.039661,0.040025,0.040025,15401236
2021-07-13,0.039986,0.040644,0.038129,0.038464,0.038464,15249221
