Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,10.337016,11.058375,9.218033,10.531153,10.531153,7180485636
2021-05-10,10.495445,10.973189,8.408383,9.255657,9.255657,7999780398
2021-05-11,9.269244,14.446660,8.819717,14.365542,14.365542,19747287698
2021-05-12,14.497036,14.876486,10.284602,10.284602,10.284602,13854199527
2021-05-13,10.388457,11.541845,9.485846,10.649879,10.649879,11187943344
2021-05-14,10.614678,11.630667,10.543537,11.178538,11.178538,7137913354
2021-05-15,11.178637,11.878281,10.151336,10.230410,10.230410,7734453857
2021-05-16,10.220299,11.200303,9.452394,10.121030,10.121030,5361946059
2021-05-17,10.122277,10.122277,8.646706,9.150761,9.150761,6305582701
2021-05-18,9.130286,10.018250,8.984976,9.332972,9.332972,4465076152
2021-05-19,9.341892,9.472242,4.372288,5.755894,5.755894,9428366959
2021-05-20,5.703906,6.980656,5.150247,6.671741,6.671741,5731291548
2021-05-21,6.651268,6.909041,4.865541,5.560426,5.560426,4622604099
2021-05-22,5.568232,5.662305,4.945649,5.114590,5.114590,2931374687
2021-05-23,5.111231,5.320786,3.602816,4.321143,4.321143,3539609824
2021-05-24,4.303846,5.620333,4.201288,5.607606,5.607606,3567180210
2021-05-25,5.635283,5.996526,5.091938,5.707494,5.707494,4015099322
2021-05-26,5.704788,6.494202,5.565981,6.432809,6.432809,3527450367
2021-05-27,6.439530,7.635394,6.116398,6.973829,6.973829,5693667680
2021-05-28,7.011552,7.053184,5.856401,6.120921,6.120921,5035168990
2021-05-29,6.118365,6.769138,5.773640,6.018345,6.018345,4114768922
2021-05-30,6.021516,6.354030,5.571736,6.042301,6.042301,2854592151
2021-05-31,6.042428,6.669682,5.758621,6.646876,6.646876,2659523175
2021-06-01,6.635984,6.750627,6.094796,6.301362,6.301362,2310392999
2021-06-02,6.306106,6.534432,6.133429,6.373694,6.373694,1919767860
2021-06-03,6.376186,6.696063,6.240257,6.528768,6.528768,1794689102
2021-06-04,6.535487,6.535487,5.808474,6.022046,6.022046,1942802506
2021-06-05,6.020715,6.223137,5.662239,5.779298,5.779298,1520343210
2021-06-06,5.780215,5.942034,5.727558,5.854131,5.854131,1120555955
2021-06-07,5.848317,5.968512,5.132263,5.175291,5.175291,1526919598
2021-06-08,5.191951,5.252016,4.529829,5.067355,5.067355,2403746236
2021-06-09,5.054304,5.352216,4.785255,5.316720,5.316720,2086350950
2021-06-10,5.337628,5.435908,4.948757,5.080885,5.080885,1659804370
2021-06-11,5.081703,5.365099,4.865316,4.919518,4.919518,1679245571
2021-06-12,4.916906,4.916906,4.593605,4.832969,4.832969,1400097314
2021-06-13,4.834865,5.106402,4.674938,5.090352,5.090352,1220333619
2021-06-14,5.087619,5.318657,4.963898,5.127661,5.127661,1211494792
2021-06-15,5.265985,5.387097,5.118312,5.284315,5.284315,1438399107
2021-06-16,5.188779,5.229988,4.834947,4.863669,4.863669,1259759537
2021-06-17,4.865488,5.079495,4.765788,4.868918,4.868918,909736516
2021-06-18,4.875869,4.885875,4.432036,4.560965,4.560965,996883872
2021-06-19,4.567739,4.701338,4.468817,4.482413,4.482413,801768840
2021-06-20,4.472462,4.532819,4.125695,4.516932,4.516932,1031582017
2021-06-21,4.511039,4.524095,3.513872,3.525180,3.525180,1545781333
2021-06-22,3.520461,3.754961,3.062217,3.386621,3.386621,1889470302
2021-06-23,3.386003,3.800362,3.262794,3.682473,3.682473,1325285246
2021-06-24,3.667460,3.922033,3.530221,3.910910,3.910910,1021130967
2021-06-25,3.918176,4.015374,3.511764,3.550431,3.550431,1123764463
2021-06-26,3.541777,3.652933,3.355716,3.563731,3.563731,985260576
2021-06-27,3.572775,3.770769,3.493105,3.766423,3.766423,727602241
2021-06-28,3.773448,3.927719,3.690546,3.840925,3.840925,878602409
2021-06-29,3.847888,4.285907,3.841633,4.109534,4.109534,1346221802
2021-06-30,4.125379,4.294250,3.842333,4.135842,4.135842,1240185550
2021-07-01,4.136350,4.201095,3.859985,3.938224,3.938224,1034398921
2021-07-02,3.930561,4.000508,3.751986,3.934325,3.934325,1014258464
2021-07-03,3.926595,4.060837,3.859586,4.046421,4.046421,730270296
2021-07-04,4.048645,4.181861,3.952532,4.059930,4.059930,808602549
2021-07-05,4.061888,4.061888,3.773130,3.819266,3.819266,800403331
2021-07-06,3.814236,4.004299,3.797596,3.882325,3.882325,696787462
2021-07-07,3.880154,3.978702,3.820523,3.824342,3.824342,683845644
2021-07-08,3.827764,3.838139,3.551807,3.607471,3.607471,869525838
2021-07-09,3.597054,4.303052,3.459855,4.212674,4.212674,2142691616
2021-07-10,4.219055,4.413939,3.882187,3.972061,3.972061,1661364975
2021-07-11,3.966069,4.159544,3.839545,4.072482,4.072482,1240654533
2021-07-12,4.079253,4.367599,4.049603,4.196892,4.196892,1728298423
2021-07-13,4.192751,4.214041,3.812567,3.887972,3.887972,1215472507
2021-07-14,3.890791,3.921577,3.609879,3.798768,3.798768,1060525542
2021-07-15,3.799882,3.912240,3.577850,3.658368,3.658368,875422889
2021-07-16,3.665727,3.801890,3.538847,3.656160,3.656160,959225437
2021-07-17,3.655043,3.773904,3.599156,3.655868,3.655868,975546785
2021-07-18,3.659636,3.772248,3.575633,3.647728,3.647728,702618061
2021-07-19,3.639851,3.679825,3.417548,3.432711,3.432711,715347333
2021-07-20,3.437234,3.537290,3.162708,3.266146,3.266146,882938135
2021-07-21,3.261986,3.566192,3.213230,3.496587,3.496587,961739656
2021-07-22,3.501033,3.579281,3.436629,3.565174,3.565174,712659497
2021-07-23,3.566147,3.642233,3.460331,3.633717,3.633717,673573576
2021-07-24,3.633126,3.738451,3.619477,3.673266,3.673266,715926762
2021-07-25,3.670401,3.694575,3.554206,3.658736,3.658736,689278966
2021-07-26,3.660033,3.990837,3.635867,3.689906,3.689906,1378981995
2021-07-27,3.684228,3.787195,3.609670,3.754743,3.754743,967695450
2021-07-28,3.759641,4.005415,3.697118,3.900478,3.900478,1293593712
2021-07-29,3.913222,3.982152,3.810640,3.959456,3.959456,775708168
2021-07-30,3.965075,4.070299,3.798057,4.070299,4.070299,910302674
2021-07-31,4.066850,4.193183,4.009968,4.088745,4.088745,1066826040
2021-08-01,4.073721,4.232665,3.873944,3.945524,3.945524,1175660677
2021-08-02,3.942428,4.153877,3.897556,4.031493,4.031493,906445134
2021-08-03,4.029692,4.089786,3.875202,4.015860,4.015860,860746674
2021-08-04,4.024861,4.151392,3.933585,4.113352,4.113352,831749386
2021-08-05,4.113878,4.213981,3.954063,4.189425,4.189425,954820968
2021-08-06,4.187672,4.350502,4.111484,4.312002,4.312002,1002823764
2021-08-07,4.319448,4.640821,4.285383,4.589757,4.589757,1430684017
2021-08-08,4.592557,4.660686,4.238006,4.292496,4.292496,1192161212
2021-08-09,4.295370,4.563359,4.163512,4.539388,4.539388,1138993848
2021-08-10,4.534515,4.701011,4.414260,4.594707,4.594707,1144026047
2021-08-11,4.597185,4.973929,4.588044,4.760469,4.760469,1482464743
2021-08-12,4.756876,5.086155,4.547637,4.644835,4.644835,1853621228
2021-08-13,4.666331,5.157298,4.613260,5.157298,5.157298,1681914666
2021-08-14,5.156905,5.551615,5.070052,5.488291,5.488291,2566111412
2021-08-15,5.487942,5.698966,5.154503,5.688729,5.688729,2154708331
2021-08-16,5.698126,5.923903,5.466543,5.539955,5.539955,2326880263
2021-08-17,5.521215,5.664909,5.017383,5.059313,5.059313,2152040135
2021-08-18,5.060789,5.164987,4.779820,4.995217,4.995217,1682680923
2021-08-19,4.984994,5.250851,4.818549,5.250851,5.250851,1497480457
2021-08-20,5.250447,5.469368,5.190814,5.462737,5.462737,1536920124
2021-08-21,5.464023,5.624494,5.310990,5.351671,5.351671,1730722209
2021-08-22,5.357501,5.536501,5.229383,5.425120,5.425120,1220562879
2021-08-23,5.416806,5.689093,5.374352,5.594165,5.594165,1388029133
2021-08-24,5.601088,5.679975,4.916558,5.060614,5.060614,1669444939
2021-08-25,5.066752,5.247628,4.926502,5.204841,5.204841,1506847409
2021-08-26,5.211513,5.271947,4.708292,4.744669,4.744669,1623641217
2021-08-27,4.749494,5.086433,4.644223,5.084669,5.084669,1971682565
2021-08-28,5.090341,5.102480,4.886631,4.998863,4.998863,1259224496
2021-08-29,5.007339,5.232139,4.987557,5.062877,5.062877,1896180105
2021-08-30,5.064765,5.082072,4.810917,4.820851,4.820851,1587132286
2021-08-31,4.822345,5.092590,4.766427,5.042055,5.042055,1781330264
2021-09-01,5.035781,5.322075,4.911465,5.308944,5.308944,1889385164
2021-09-02,5.312497,5.382127,5.200009,5.261724,5.261724,1898639425
2021-09-03,5.260908,5.726604,5.140908,5.676409,5.676409,2557607171
2021-09-04,5.670074,5.873206,5.574881,5.698893,5.698893,2727443192
2021-09-05,5.693833,6.316302,5.547148,6.291090,6.291090,3255999666
2021-09-06,6.295043,6.392281,5.966971,6.218043,6.218043,3190418961
2021-09-07,6.215600,6.249388,4.385934,4.875247,4.875247,4487288099
2021-09-08,4.877763,4.964468,4.446043,4.744462,4.744462,2955408556
2021-09-09,4.702281,4.947041,4.680641,4.815421,4.815421,1738032943
2021-09-10,4.817251,5.050227,4.480893,4.570918,4.570918,1633670448
2021-09-11,4.567683,4.789456,4.561262,4.679247,4.679247,1178364247
2021-09-12,4.679025,4.944521,4.583516,4.886842,4.886842,1341480697
2021-09-13,4.885245,4.941829,4.504780,4.743552,4.743552,1793399494
2021-09-14,4.744821,4.879072,4.714663,4.860802,4.860802,1316521680
2021-09-15,4.862249,5.149112,4.782008,5.106350,5.106350,1333747553
2021-09-16,5.104537,5.173464,4.896150,5.021522,5.021522,1340647035
2021-09-17,5.019464,5.505742,4.953405,5.244626,5.244626,2495015740
2021-09-18,5.247677,5.493825,5.114178,5.473011,5.473011,1849955474
2021-09-19,5.464946,5.496920,4.873445,4.917988,4.917988,1607965182
2021-09-20,4.914084,4.924447,4.140335,4.182031,4.182031,2209005206
2021-09-21,4.203076,4.305825,3.808554,3.886507,3.886507,1787195160
2021-09-22,3.883939,4.326924,3.814744,4.302270,4.302270,1362027083
2021-09-23,4.303215,4.391666,4.202456,4.378420,4.378420,1103168193
2021-09-24,4.378192,4.389514,3.807536,4.035329,4.035329,1633185811
