Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,61.350735,61.643715,59.282448,60.935837,60.935837,103352862
2021-05-10,60.940010,63.084251,56.258606,59.160667,59.160667,184292181
2021-05-11,59.203232,61.358692,57.460907,61.283272,61.283272,126170523
2021-05-12,61.310822,63.034527,56.128464,56.128464,56.128464,217331486
2021-05-13,56.222214,58.750404,52.023220,54.697277,54.697277,280022538
2021-05-14,54.667397,58.632130,53.935188,57.860420,57.860420,234313657
2021-05-15,57.868496,58.420975,53.305222,53.334774,53.334774,234725117
2021-05-16,53.249187,56.695374,50.600006,54.024372,54.024372,251507019
2021-05-17,54.008759,54.084373,47.975281,50.453636,50.453636,328660948
2021-05-18,50.424721,54.028511,50.015720,50.955200,50.955200,155234607
2021-05-19,51.022526,51.777004,34.195122,36.937386,36.937386,543253572
2021-05-20,36.753002,43.503937,33.407478,40.875542,40.875542,304378839
2021-05-21,40.784050,42.541172,32.098019,36.039318,36.039318,248165448
2021-05-22,36.064556,36.743031,32.408226,33.298744,33.298744,133676886
2021-05-23,33.319279,34.074688,22.840666,27.070227,27.070227,297093226
2021-05-24,27.003012,33.723824,27.003012,33.404148,33.404148,167727641
2021-05-25,33.322666,34.709686,30.514791,33.234081,33.234081,114712948
2021-05-26,33.222298,37.058159,32.804005,36.733753,36.733753,115422596
2021-05-27,36.783794,37.375999,34.083817,35.836426,35.836426,99382679
2021-05-28,35.900826,36.300014,31.317890,32.254406,32.254406,148845405
2021-05-29,32.249992,33.958248,29.417578,30.340425,30.340425,110270744
2021-05-30,30.343122,32.647533,29.222548,31.421120,31.421120,80921473
2021-05-31,31.430849,34.180637,29.901897,34.040974,34.040974,159620352
2021-06-01,34.081532,34.777992,32.729954,33.799133,33.799133,174829697
2021-06-02,33.806450,36.205990,33.003681,34.976547,34.976547,97635170
2021-06-03,34.958412,36.843296,34.284000,36.430340,36.430340,67568942
2021-06-04,36.447170,36.481419,33.030499,34.630043,34.630043,217950645
2021-06-05,34.689068,36.755863,32.889778,33.516769,33.516769,199166749
2021-06-06,33.524834,34.603249,33.384640,33.857590,33.857590,69674609
2021-06-07,33.821888,35.664398,31.758999,31.831194,31.831194,128587039
2021-06-08,31.925911,32.247173,28.594568,30.988077,30.988077,137884643
2021-06-09,30.932655,33.757153,29.846743,33.659538,33.659538,131691057
2021-06-10,33.661942,33.919411,32.134434,32.708153,32.708153,102096414
2021-06-11,32.682976,33.175262,31.158644,31.520376,31.520376,67409475
2021-06-12,31.528809,31.592333,29.718777,30.739098,30.739098,70278693
2021-06-13,30.754677,33.099274,30.128492,32.838230,32.838230,65840034
2021-06-14,32.837460,34.191208,32.574825,33.654739,33.654739,72897423
2021-06-15,34.056862,34.888870,33.444885,34.582764,34.582764,79841063
2021-06-16,33.845798,33.964222,31.706423,31.899328,31.899328,58577990
2021-06-17,31.896086,32.950600,31.505861,32.077759,32.077759,44466420
2021-06-18,32.111099,32.270351,29.020796,29.721060,29.721060,58814461
2021-06-19,29.743267,30.493860,29.175907,29.603102,29.603102,28609685
2021-06-20,29.596273,30.193617,27.750864,29.952927,29.952927,38654857
2021-06-21,29.907524,30.137793,24.883486,25.175760,25.175760,102702700
2021-06-22,25.149097,26.271458,22.485855,24.842508,24.842508,110239572
2021-06-23,24.842752,27.615330,24.293722,26.592533,26.592533,70407323
2021-06-24,26.370926,26.989042,25.181795,26.300932,26.300932,46119062
2021-06-25,26.302149,26.784052,23.220425,23.361471,23.361471,60698015
2021-06-26,23.318277,23.843582,21.933104,22.785309,22.785309,49503583
2021-06-27,22.859770,24.595530,22.736933,24.547169,24.547169,24677198
2021-06-28,24.606823,25.986145,24.367527,25.493366,25.493366,32207085
2021-06-29,25.492626,27.719736,25.464640,26.910679,26.910679,50036904
2021-06-30,26.934553,27.608534,25.713802,27.484917,27.484917,37360954
2021-07-01,27.484980,27.534052,25.668343,26.249495,26.249495,40245588
2021-07-02,26.248001,27.335716,25.359650,27.319393,27.319393,45524537
2021-07-03,27.303795,28.218477,26.776217,27.998697,27.998697,38194951
2021-07-04,27.999992,28.147774,26.690456,27.449049,27.449049,76843229
2021-07-05,27.451710,27.451710,25.216463,25.368855,25.368855,68086619
2021-07-06,25.338945,28.817072,25.304071,28.817072,28.817072,126044014
2021-07-07,28.790268,30.490088,28.480343,30.022102,30.022102,72969802
2021-07-08,30.064337,30.138538,28.279823,28.761093,28.761093,48153537
2021-07-09,28.761549,30.448395,28.057884,30.223703,30.223703,47852473
2021-07-10,30.214954,30.689205,29.635139,30.139471,30.139471,41903883
2021-07-11,30.163029,31.459673,29.781502,30.984850,30.984850,39831254
2021-07-12,30.983452,32.118820,30.137478,30.557619,30.557619,69669339
2021-07-13,30.510559,30.956631,29.312248,29.709126,29.709126,61811938
2021-07-14,29.705502,29.739012,28.161451,28.443905,28.443905,91255199
2021-07-15,28.445215,28.842117,25.718208,25.886431,25.886431,106870543
2021-07-16,25.938198,27.088511,23.326628,25.515696,25.515696,207634528
2021-07-17,25.501299,27.130547,25.399412,26.382311,26.382311,79885550
2021-07-18,26.371244,27.189508,25.903296,26.054617,26.054617,44959331
2021-07-19,26.057529,26.253122,24.470346,24.908672,24.908672,55941940
2021-07-20,24.908854,26.386091,23.659098,25.818054,25.818054,159354049
2021-07-21,25.804640,28.913080,25.395594,28.131201,28.131201,195837215
2021-07-22,28.140026,29.127796,27.493271,28.779816,28.779816,85234332
2021-07-23,28.781700,29.569456,28.099079,29.569456,29.569456,69483535
2021-07-24,29.573185,30.475391,29.311157,30.249847,30.249847,57676006
2021-07-25,30.236839,30.530642,28.976974,30.431206,30.431206,69161549
2021-07-26,30.475327,33.331589,29.588923,29.806564,29.806564,187201697
2021-07-27,29.761993,31.151661,28.665886,31.151661,31.151661,150010361
2021-07-28,31.195469,32.269070,30.730736,31.925182,31.925182,92454210
2021-07-29,31.886824,32.854252,31.379120,32.598797,32.598797,71994007
2021-07-30,32.611053,35.036640,32.370365,35.036640,35.036640,105232107
2021-07-31,35.008389,35.622997,33.925201,35.305977,35.305977,54489058
2021-08-01,35.174366,36.304642,34.408482,35.039574,35.039574,72439682
2021-08-02,34.944008,36.939976,34.425964,35.627609,35.627609,76257005
2021-08-03,37.890903,38.644272,35.499290,35.914455,35.914455,105734297
2021-08-04,35.956547,38.150997,34.447777,37.749771,37.749771,75863474
2021-08-05,37.821938,39.961067,35.819622,39.914837,39.914837,70787947
2021-08-06,39.930828,41.832081,39.421818,41.188629,41.188629,87513700
2021-08-07,41.215744,44.960541,40.991955,44.688049,44.688049,108458523
2021-08-08,44.909042,45.953510,42.591499,43.567039,43.567039,91764954
2021-08-09,43.588230,49.457371,41.870728,48.892235,48.892235,194827185
2021-08-10,48.821594,50.222179,47.511990,48.916698,48.916698,142630628
2021-08-11,48.898697,52.707012,48.861092,50.545242,50.545242,154539827
2021-08-12,50.510883,51.943386,47.621632,49.201145,49.201145,129623608
2021-08-13,49.192822,54.108116,48.160408,50.587555,50.587555,584539037
2021-08-14,50.641254,50.668480,46.827412,50.197826,50.197826,466994024
2021-08-15,50.184982,51.944157,47.501656,51.474113,51.474113,200505588
2021-08-16,51.465267,53.440708,45.022568,47.234962,47.234962,591982102
2021-08-17,47.070473,48.824638,43.028408,44.764946,44.764946,548324820
2021-08-18,44.719749,48.117599,43.710377,46.790413,46.790413,291485694
2021-08-19,46.652561,49.782696,44.777081,49.747257,49.747257,238540039
2021-08-20,49.743622,53.459438,47.839745,50.340092,50.340092,776157560
2021-08-21,50.346050,52.018967,49.264839,51.292404,51.292404,395393447
2021-08-22,51.309723,51.992630,48.484062,50.311871,50.311871,180861050
2021-08-23,50.241547,51.974815,50.236538,50.674782,50.674782,259182533
2021-08-24,50.702255,51.077587,45.964680,47.461231,47.461231,247256023
2021-08-25,47.543652,50.016872,46.444206,49.549206,49.549206,215499799
2021-08-26,49.592625,50.355392,44.913105,45.901535,45.901535,234196101
2021-08-27,45.819580,49.556496,45.183189,49.470638,49.470638,212876963
2021-08-28,49.500599,53.615303,48.043774,51.208241,51.208241,735498771
2021-08-29,51.162647,51.579475,46.969208,47.438148,47.438148,650923696
2021-08-30,47.438950,48.975327,45.627754,46.279125,46.279125,328765688
2021-08-31,46.285809,52.230560,45.142658,48.504723,48.504723,569408049
2021-09-01,48.511425,65.970512,47.177670,65.181877,65.181877,1743544361
2021-09-02,65.189415,70.206406,59.258167,60.338848,60.338848,2142182067
2021-09-03,60.159401,67.526459,58.272243,63.709633,63.709633,1706726332
2021-09-04,63.581573,65.474030,60.728237,60.904751,60.904751,1057002301
2021-09-05,60.885181,64.957603,59.508793,63.547558,63.547558,718891313
2021-09-06,63.527660,77.351112,62.268967,73.347878,73.347878,2040937192
2021-09-07,73.313110,83.409676,63.378998,70.948814,70.948814,3919748073
2021-09-08,70.990540,78.626755,61.990467,76.188545,76.188545,2855900399
2021-09-09,77.694908,85.016853,71.891983,79.871315,79.871315,3338581625
2021-09-10,79.528374,83.252350,70.036858,72.942284,72.942284,2321776361
2021-09-11,72.811684,77.012032,71.925934,72.547432,72.547432,1204328802
2021-09-12,72.638123,77.945808,70.939262,73.528091,73.528091,984520795
2021-09-13,73.531952,74.120178,64.910179,68.326225,68.326225,1219088916
2021-09-14,68.395760,69.122520,65.689613,67.710754,67.710754,793934478
2021-09-15,67.676453,72.960747,66.715630,71.181618,71.181618,573941920
2021-09-16,71.161896,71.519684,66.035973,67.482300,67.482300,488691046
2021-09-17,67.479149,68.206253,58.723042,61.675236,61.675236,627398823
2021-09-18,61.540482,66.419678,61.350273,63.759045,63.759045,583894130
2021-09-19,63.646637,63.964676,59.981068,60.813877,60.813877,426172881
2021-09-20,60.792759,60.876858,51.106701,52.498138,52.498138,929415230
2021-09-21,52.929470,58.512955,48.106209,51.454842,51.454842,1088744843
2021-09-22,51.288906,58.100864,50.820019,55.829700,55.829700,743203675
2021-09-23,55.781204,60.901199,54.589661,57.618210,57.618210,891909778
2021-09-24,57.631458,57.791904,49.193279,52.984562,52.984562,807456856
2021-09-25,52.924152,56.089664,50.757137,54.930729,54.930729,559176206
2021-09-26,54.885197,59.320972,49.939907,55.857903,55.857903,974027302
2021-09-27,55.932438,57.864624,51.707058,51.773708,51.773708,556113783
2021-09-28,51.672031,52.966599,47.973469,48.145092,48.145092,481719624
2021-09-29,48.230865,52.266033,48.035664,49.945477,49.945477,481700161
2021-09-30,49.962902,52.849102,49.733414,51.567284,51.567284,424051422
2021-10-01,51.684978,56.381927,51.090122,55.246559,55.246559,516884518
2021-10-02,55.249882,58.106106,53.557858,56.166374,56.166374,487894633
2021-10-03,56.138222,58.713120,55.237206,56.745502,56.745502,430917547
2021-10-04,56.742374,57.008503,53.085144,55.833454,55.833454,429342170
2021-10-05,55.910702,59.319046,54.877789,58.938557,58.938557,428719249
2021-10-06,58.859043,61.836800,54.092030,56.794571,56.794571,814439145
2021-10-07,56.769192,57.664124,54.923370,55.769001,55.769001,477705381
2021-10-08,55.760242,57.407776,54.750343,55.133251,55.133251,276539245
2021-10-09,55.076981,56.706394,54.723778,55.940571,55.940571,171089284
2021-10-10,55.925800,56.234821,53.050678,53.649105,53.649105,175902026
2021-10-11,53.506168,55.477356,53.017265,54.551456,54.551456,207093563
2021-10-12,54.565853,54.565853,51.542316,52.848701,52.848701,249473837
2021-10-13,52.833145,54.116322,51.664410,54.116322,54.116322,276005714
2021-10-14,54.085693,56.055248,53.759201,55.432701,55.432701,301360082
2021-10-15,55.471432,58.170143,54.711864,56.971180,56.971180,318536829
2021-10-16,56.992779,57.986504,55.996628,56.393417,56.393417,179260062
2021-10-17,56.314369,57.348339,54.703537,56.396908,56.396908,152460938
2021-10-18,56.386124,57.356674,53.768623,55.484211,55.484211,240276497
2021-10-19,55.531044,57.137417,55.253262,57.076614,57.076614,160006375
2021-10-20,57.067825,62.301098,56.513405,61.324318,61.324318,480588071
2021-10-21,61.367252,67.493668,60.033218,61.591534,61.591534,1168532353
2021-10-22,61.571308,66.345535,61.571308,62.862083,62.862083,563978835
2021-10-23,62.843899,63.809654,60.955986,63.481758,63.481758,248247543
2021-10-24,63.452435,63.660854,60.040890,61.914345,61.914345,189355198
2021-10-25,61.824356,66.029457,61.625095,65.594292,65.594292,288522279
2021-10-26,65.667336,69.660538,62.443672,62.755680,62.755680,479508779
2021-10-27,62.774288,64.238960,56.758453,58.040421,58.040421,568510592
2021-10-28,57.970886,61.203350,57.294964,60.179871,60.179871,435078654
2021-10-29,60.265823,61.854813,60.023262,61.259853,61.259853,276725425
2021-10-30,61.328743,61.984047,58.853748,59.574245,59.574245,196932044
2021-10-31,59.542213,60.244942,57.654469,59.377735,59.377735,190438801
2021-11-01,59.384438,60.032940,57.444637,59.134995,59.134995,245339305
2021-11-02,59.138065,61.291649,58.495758,61.177494,61.177494,293113261
2021-11-03,61.179127,62.934418,59.776981,62.473480,62.473480,377523064
2021-11-04,62.530766,62.689465,58.484165,59.655529,59.655529,259114936
2021-11-05,59.680607,60.521935,58.233860,59.033272,59.033272,217943424
2021-11-06,58.933376,61.536205,57.830013,61.536205,61.536205,233111389
2021-11-07,61.575397,64.300262,61.103561,63.829380,63.829380,330157194
2021-11-08,64.063591,65.617043,63.005474,65.361076,65.361076,384854575
2021-11-09,65.262245,65.730339,61.863194,62.458134,62.458134,261739202
2021-11-10,62.375580,64.438614,57.664413,59.015507,59.015507,377677040
2021-11-11,59.031673,60.538990,58.418343,59.360600,59.360600,254443984
