Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,0.297816,0.298891,0.278258,0.291887,0.291887,312130870
2021-05-10,0.291569,0.299202,0.253158,0.265903,0.265903,349988134
2021-05-11,0.265515,0.284353,0.263238,0.283242,0.283242,257700261
2021-05-12,0.282855,0.285781,0.240013,0.240013,0.240013,291234265
2021-05-13,0.241862,0.398713,0.232039,0.333583,0.333583,1149740929
2021-05-14,0.334300,0.390136,0.316028,0.336664,0.336664,1283319120
2021-05-15,0.335660,0.335660,0.296250,0.307110,0.307110,644061708
2021-05-16,0.310663,0.362086,0.301643,0.329221,0.329221,528274953
2021-05-17,0.328718,0.349100,0.286051,0.292128,0.292128,500249127
2021-05-18,0.291878,0.345409,0.286031,0.330843,0.330843,459178817
2021-05-19,0.337066,0.342253,0.162266,0.217185,0.217185,650520198
2021-05-20,0.216209,0.288805,0.192618,0.275506,0.275506,457736041
2021-05-21,0.272998,0.292135,0.196576,0.237508,0.237508,421381776
2021-05-22,0.237860,0.294988,0.206941,0.268863,0.268863,516550344
2021-05-23,0.269058,0.269058,0.191818,0.232959,0.232959,418663995
2021-05-24,0.232370,0.269781,0.217267,0.254168,0.254168,327811435
2021-05-25,0.255190,0.265952,0.229248,0.252284,0.252284,292896729
2021-05-26,0.253082,0.276111,0.247858,0.273919,0.273919,304500199
2021-05-27,0.273679,0.273884,0.249451,0.253861,0.253861,279870285
2021-05-28,0.254140,0.258825,0.209868,0.218520,0.218520,342312742
2021-05-29,0.218452,0.224261,0.200093,0.209216,0.209216,257751723
2021-05-30,0.209153,0.227343,0.199870,0.218486,0.218486,196649646
2021-05-31,0.218492,0.235086,0.206380,0.234028,0.234028,201051044
2021-06-01,0.233661,0.237511,0.217666,0.225560,0.225560,212573328
2021-06-02,0.226817,0.242099,0.217979,0.231377,0.231377,199288390
2021-06-03,0.232022,0.266707,0.229877,0.257321,0.257321,228158781
2021-06-04,0.257388,0.257388,0.221159,0.232782,0.232782,279386288
2021-06-05,0.232657,0.240731,0.214151,0.222779,0.222779,225015868
2021-06-06,0.222350,0.230934,0.220488,0.228680,0.228680,160536125
2021-06-07,0.228803,0.234145,0.208320,0.209289,0.209289,191651938
2021-06-08,0.209387,0.223337,0.192061,0.216752,0.216752,258790003
2021-06-09,0.216055,0.219382,0.201218,0.218078,0.218078,217221450
2021-06-10,0.218458,0.218478,0.201990,0.205444,0.205444,195082056
2021-06-11,0.205599,0.211125,0.195153,0.199646,0.199646,189105907
2021-06-12,0.200568,0.200568,0.180874,0.189242,0.189242,210137288
2021-06-13,0.189107,0.199346,0.180671,0.196707,0.196707,66987663
2021-06-14,0.196516,0.209587,0.191259,0.198093,0.198093,77084996
2021-06-15,0.209152,0.218273,0.202722,0.212327,0.212327,137972984
2021-06-16,0.212065,0.213502,0.196622,0.205272,0.205272,213542337
2021-06-17,0.205212,0.215683,0.199662,0.208269,0.208269,179313820
2021-06-18,0.208493,0.228925,0.198267,0.206924,0.206924,269943333
2021-06-19,0.207103,0.211815,0.195912,0.196945,0.196945,182002658
2021-06-20,0.196332,0.197620,0.181888,0.193395,0.193395,181780370
2021-06-21,0.192872,0.195974,0.162992,0.174396,0.174396,234985301
2021-06-22,0.173853,0.178592,0.140900,0.165985,0.165985,253835589
2021-06-23,0.166910,0.189919,0.162202,0.178933,0.178933,196238077
2021-06-24,0.182207,0.194838,0.176486,0.191997,0.191997,144508381
2021-06-25,0.191934,0.194931,0.164944,0.166390,0.166390,225379219
2021-06-26,0.166023,0.192612,0.163842,0.178068,0.178068,218458971
2021-06-27,0.179192,0.182527,0.172167,0.182282,0.182282,150525717
2021-06-28,0.182241,0.184777,0.176054,0.182085,0.182085,143579574
2021-06-29,0.182558,0.195802,0.181621,0.189774,0.189774,152042580
2021-06-30,0.190595,0.195359,0.176540,0.195359,0.195359,188821623
2021-07-01,0.195415,0.213540,0.182808,0.212270,0.212270,251308009
2021-07-02,0.211796,0.211914,0.187510,0.193324,0.193324,186051050
2021-07-03,0.193148,0.195332,0.188646,0.193306,0.193306,154670967
2021-07-04,0.193525,0.196920,0.188798,0.194215,0.194215,132516533
2021-07-05,0.194367,0.194367,0.181605,0.184944,0.184944,182850222
2021-07-06,0.185350,0.190242,0.181700,0.184841,0.184841,169478655
2021-07-07,0.185140,0.191569,0.182732,0.185531,0.185531,128406226
2021-07-08,0.186077,0.187575,0.170761,0.171910,0.171910,186739437
2021-07-09,0.171810,0.177496,0.166478,0.175238,0.175238,161911825
2021-07-10,0.175255,0.176695,0.167023,0.169236,0.169236,153532525
2021-07-11,0.169393,0.173274,0.168377,0.171550,0.171550,72491111
2021-07-12,0.171560,0.173356,0.165817,0.168594,0.168594,141483434
2021-07-13,0.168473,0.183974,0.166406,0.175966,0.175966,219938358
2021-07-14,0.176076,0.176256,0.164184,0.170303,0.170303,160798961
2021-07-15,0.170310,0.182253,0.165832,0.174111,0.174111,224353691
2021-07-16,0.174446,0.198270,0.170412,0.180866,0.180866,336794978
2021-07-17,0.180941,0.193455,0.178505,0.187535,0.187535,222460778
2021-07-18,0.187532,0.193871,0.180597,0.182298,0.182298,175045762
2021-07-19,0.182333,0.183117,0.170726,0.172967,0.172967,99321626
2021-07-20,0.173205,0.174712,0.156678,0.158565,0.158565,150832626
2021-07-21,0.158189,0.171579,0.155914,0.169049,0.169049,130461145
2021-07-22,0.169416,0.176502,0.164323,0.173720,0.173720,131101609
2021-07-23,0.173423,0.174654,0.166168,0.174385,0.174385,137066149
2021-07-24,0.174320,0.181443,0.173180,0.179977,0.179977,126292167
2021-07-25,0.179951,0.180336,0.171021,0.176612,0.176612,118708982
2021-07-26,0.176653,0.208763,0.175859,0.184364,0.184364,250397237
2021-07-27,0.183914,0.204576,0.180239,0.197364,0.197364,214686211
2021-07-28,0.197966,0.207435,0.193394,0.197005,0.197005,174172394
2021-07-29,0.197058,0.205077,0.194949,0.204228,0.204228,128806677
2021-07-30,0.204057,0.216446,0.200602,0.214838,0.214838,181677447
2021-07-31,0.214737,0.217827,0.207809,0.214312,0.214312,148343144
2021-08-01,0.214291,0.218971,0.204071,0.206148,0.206148,170903092
2021-08-02,0.206321,0.212678,0.203341,0.209276,0.209276,169256655
2021-08-03,0.209364,0.226573,0.205656,0.214310,0.214310,165811655
2021-08-04,0.214779,0.218882,0.207176,0.217867,0.217867,134829861
2021-08-05,0.217977,0.221669,0.208722,0.219172,0.219172,196836488
2021-08-06,0.219120,0.219523,0.213074,0.217954,0.217954,180765846
2021-08-07,0.218184,0.226299,0.216924,0.224395,0.224395,188463208
2021-08-08,0.224894,0.225177,0.210119,0.213804,0.213804,105603453
2021-08-09,0.213941,0.222865,0.206471,0.221671,0.221671,44357309
2021-08-10,0.221161,0.230789,0.217015,0.224856,0.224856,74026897
2021-08-11,0.224872,0.241234,0.223168,0.228411,0.228411,192562270
2021-08-12,0.228534,0.236354,0.213602,0.218702,0.218702,237667102
2021-08-13,0.218852,0.231360,0.216462,0.231251,0.231251,64994281
2021-08-14,0.231279,0.276917,0.227553,0.262234,0.262234,271029436
2021-08-15,0.262841,0.264228,0.240570,0.252123,0.252123,219713477
2021-08-16,0.252041,0.266025,0.242428,0.244185,0.244185,261498205
2021-08-17,0.243162,0.252548,0.225510,0.228184,0.228184,280888146
2021-08-18,0.228209,0.233661,0.217982,0.224080,0.224080,238125622
2021-08-19,0.223974,0.237078,0.219555,0.237056,0.237056,215048622
2021-08-20,0.237083,0.250072,0.234715,0.246799,0.246799,223919655
2021-08-21,0.247040,0.250145,0.239841,0.242840,0.242840,213590556
2021-08-22,0.242863,0.248953,0.234680,0.241599,0.241599,217559901
2021-08-23,0.241677,0.264691,0.241418,0.260755,0.260755,266257600
2021-08-24,0.260948,0.290817,0.253262,0.253263,0.253263,420759967
2021-08-25,0.253145,0.260710,0.241804,0.257636,0.257636,278776167
2021-08-26,0.258075,0.261202,0.234558,0.238789,0.238789,272612604
2021-08-27,0.238502,0.254534,0.230227,0.254534,0.254534,222474372
2021-08-28,0.254095,0.269457,0.249581,0.260884,0.260884,232106032
2021-08-29,0.261019,0.263818,0.251220,0.253090,0.253090,235163083
2021-08-30,0.252848,0.256577,0.243662,0.245628,0.245628,246002735
2021-08-31,0.245890,0.272602,0.242252,0.251603,0.251603,322381882
2021-09-01,0.252188,0.265979,0.244250,0.264727,0.264727,231717545
2021-09-02,0.264633,0.278085,0.260272,0.273810,0.273810,321155198
2021-09-03,0.274702,0.285670,0.266358,0.284980,0.284980,277652009
2021-09-04,0.285530,0.319160,0.277711,0.317060,0.317060,362499956
2021-09-05,0.317942,0.317942,0.297377,0.307328,0.307328,332184580
2021-09-06,0.307421,0.318575,0.297197,0.311715,0.311715,316084304
2021-09-07,0.312089,0.343685,0.240598,0.271607,0.271607,612754338
2021-09-08,0.271263,0.324129,0.246344,0.318931,0.318931,516532511
2021-09-09,0.338161,0.359301,0.291336,0.331358,0.331358,732932225
2021-09-10,0.331080,0.338361,0.296528,0.315978,0.315978,427327773
2021-09-11,0.316734,0.387034,0.315438,0.364442,0.364442,785686168
2021-09-12,0.363090,0.420609,0.348028,0.420609,0.420609,769431973
2021-09-13,0.422002,0.445202,0.368947,0.429116,0.429116,973984915
2021-09-14,0.432351,0.486845,0.402029,0.455762,0.455762,809165334
2021-09-15,0.456503,0.567559,0.454432,0.505923,0.505923,1317970794
2021-09-16,0.505475,0.570146,0.462120,0.478304,0.478304,1130094493
2021-09-17,0.476886,0.476886,0.416168,0.425150,0.425150,561091904
2021-09-18,0.425622,0.452483,0.409548,0.430496,0.430496,415051494
2021-09-19,0.428715,0.428715,0.389716,0.396071,0.396071,286777312
2021-09-20,0.396870,0.396870,0.317978,0.335913,0.335913,682025298
2021-09-21,0.339423,0.354779,0.291816,0.306295,0.306295,667581420
2021-09-22,0.305623,0.380292,0.300282,0.367095,0.367095,595978251
2021-09-23,0.366831,0.393802,0.358656,0.383043,0.383043,439041719
2021-09-24,0.383524,0.384401,0.319163,0.350050,0.350050,566043677
2021-09-25,0.350343,0.357354,0.326889,0.342288,0.342288,408127213
2021-09-26,0.342207,0.345864,0.309182,0.334835,0.334835,402888674
2021-09-27,0.335539,0.352358,0.319107,0.321129,0.321129,366810274
2021-09-28,0.320691,0.326635,0.303415,0.304183,0.304183,380084560
2021-09-29,0.304600,0.326626,0.301409,0.311013,0.311013,331753290
2021-09-30,0.311082,0.342785,0.309154,0.338182,0.338182,317966482
2021-10-01,0.338280,0.369804,0.328386,0.365341,0.365341,343920941
2021-10-02,0.365086,0.417430,0.357895,0.387630,0.387630,380019086
2021-10-03,0.386420,0.419331,0.377272,0.400457,0.400457,314995360
2021-10-04,0.399377,0.427442,0.378300,0.403880,0.403880,364151939
2021-10-05,0.404365,0.421876,0.387116,0.400943,0.400943,268413970
2021-10-06,0.402338,0.408161,0.364127,0.380994,0.380994,263592878
2021-10-07,0.381149,0.391599,0.365714,0.377906,0.377906,286091775
2021-10-08,0.378180,0.390179,0.369600,0.373611,0.373611,217291079
2021-10-09,0.373168,0.377340,0.364925,0.370861,0.370861,246129180
2021-10-10,0.371007,0.371007,0.340959,0.343463,0.343463,369347366
2021-10-11,0.342986,0.362276,0.336616,0.343729,0.343729,358811622
2021-10-12,0.344358,0.357582,0.322864,0.350232,0.350232,377410177
2021-10-13,0.350179,0.359765,0.340532,0.358570,0.358570,301046312
2021-10-14,0.357067,0.399116,0.353002,0.388454,0.388454,356988127
2021-10-15,0.389078,0.389078,0.358545,0.363343,0.363343,337628398
2021-10-16,0.364274,0.378100,0.363620,0.372379,0.372379,229479820
2021-10-17,0.372978,0.375024,0.344963,0.356195,0.356195,330189463
2021-10-18,0.355772,0.367940,0.346958,0.356895,0.356895,373182366
2021-10-19,0.356627,0.379029,0.350936,0.375543,0.375543,285747330
2021-10-20,0.375356,0.408373,0.369540,0.401451,0.401451,314185101
2021-10-21,0.402449,0.407766,0.372612,0.378349,0.378349,208223757
2021-10-22,0.378917,0.391037,0.373119,0.378554,0.378554,138055775
2021-10-23,0.378466,0.381692,0.368507,0.379850,0.379850,101061164
2021-10-24,0.379655,0.379655,0.357850,0.367573,0.367573,180787950
2021-10-25,0.367189,0.389923,0.364833,0.386773,0.386773,153129692
2021-10-26,0.386458,0.414241,0.381420,0.391563,0.391563,208701852
2021-10-27,0.391273,0.399600,0.330380,0.350109,0.350109,336909487
2021-10-28,0.349920,0.377240,0.349920,0.370969,0.370969,220965421
2021-10-29,0.370711,0.397676,0.369679,0.389371,0.389371,161063513
2021-10-30,0.389785,0.439366,0.385663,0.419025,0.419025,467840583
2021-10-31,0.418933,0.465248,0.390467,0.407031,0.407031,388084582
2021-11-01,0.407276,0.432769,0.392205,0.400310,0.400310,222631417
2021-11-02,0.400065,0.401286,0.390931,0.396606,0.396606,135946202
2021-11-03,0.397116,0.397202,0.377692,0.390604,0.390604,130935015
2021-11-04,0.390883,0.395673,0.378999,0.395586,0.395586,127460746
2021-11-05,0.393898,0.404518,0.385902,0.391680,0.391680,130293468
2021-11-06,0.390917,0.396246,0.372724,0.385605,0.385605,79798639
2021-11-07,0.385771,0.394956,0.383942,0.394764,0.394764,71520468
2021-11-08,0.394077,0.429448,0.390620,0.422225,0.422225,419019614
2021-11-09,0.422542,0.440628,0.408420,0.425676,0.425676,209105590
2021-11-10,0.425698,0.452185,0.385870,0.408401,0.408401,277025777
