Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,5.344646,5.366113,4.741720,4.869382,4.869382,240114
2021-05-10,4.870531,5.100101,4.668575,4.817055,4.817055,232518
2021-05-11,4.820068,5.225201,4.633544,5.187769,5.187769,299514
2021-05-12,5.186898,5.369643,4.623360,4.623360,4.623360,258844
2021-05-13,4.552435,4.733512,4.342470,4.590490,4.590490,214521
2021-05-14,4.589280,4.764962,4.492985,4.578512,4.578512,117294
2021-05-15,4.579139,4.629971,4.326676,4.338540,4.338540,207715
2021-05-16,4.335645,4.610017,4.076304,4.309529,4.309529,182449
2021-05-17,4.307392,4.322921,3.875530,3.968021,3.968021,138110
2021-05-18,3.983286,4.217680,3.906078,4.028995,4.028995,170959
2021-05-19,4.021060,4.099123,2.872443,3.485919,3.485919,165153
2021-05-20,3.471524,3.892987,3.310192,3.801256,3.801256,168252
2021-05-21,3.815195,3.996628,3.254737,3.581106,3.581106,146875
2021-05-22,3.581957,3.644103,3.327452,3.462595,3.462595,150674
2021-05-23,3.464613,3.510012,2.871048,3.227151,3.227151,141979
2021-05-24,3.222166,3.674363,3.186619,3.573121,3.573121,170862
2021-05-25,3.577952,3.678883,3.342480,3.563256,3.563256,161476
2021-05-26,3.571765,3.769918,3.475394,3.608436,3.608436,161507
2021-05-27,3.606044,3.833639,3.431243,3.625778,3.625778,182110
2021-05-28,3.624534,3.654431,3.250308,3.411759,3.411759,152097
2021-05-29,3.414887,3.559848,3.212443,3.322316,3.322316,145288
2021-05-30,3.325443,3.496808,3.216406,3.396463,3.396463,142905
2021-05-31,3.398169,3.565587,3.250365,3.509575,3.509575,121563
2021-06-01,3.511255,3.584529,3.262925,3.353082,3.353082,139023
2021-06-02,3.354757,3.603288,3.278135,3.545864,3.545864,132494
2021-06-03,3.542753,3.698029,3.488913,3.663120,3.663120,134572
2021-06-04,3.666664,3.674846,3.305100,3.372753,3.372753,136525
2021-06-05,3.371200,3.520532,3.254803,3.320784,3.320784,131865
2021-06-06,3.321168,3.399431,3.279905,3.329660,3.329660,128502
2021-06-07,3.330418,3.417517,3.063953,3.081692,3.081692,116006
2021-06-08,3.075876,3.113771,2.889877,3.063618,3.063618,121841
2021-06-09,3.063055,3.457418,2.973373,3.412855,3.412855,134030
2021-06-10,3.417756,3.708506,3.342212,3.627581,3.627581,146436
2021-06-11,3.628337,3.725367,3.555383,3.674016,3.674016,148315
2021-06-12,3.679954,3.694947,3.413180,3.525886,3.525886,133203
2021-06-13,3.530182,3.916297,3.423162,3.857152,3.857152,150299
2021-06-14,3.857600,4.039553,3.104337,3.981503,3.981503,151287
2021-06-15,3.219077,3.292887,3.128333,3.226220,3.226220,125501
2021-06-16,3.257473,3.277130,3.050232,3.066940,3.066940,117382
2021-06-17,3.067676,3.190990,2.927651,2.957874,2.957874,108260
2021-06-18,2.957899,2.992875,2.758631,2.802858,2.802858,102413
2021-06-19,2.803248,2.892522,2.737678,2.829267,2.829267,110138
2021-06-20,2.831206,2.838549,2.642303,2.822388,2.822388,99334
2021-06-21,2.820169,2.829621,2.436289,2.468466,2.468466,99872
2021-06-22,2.472613,2.675833,2.310379,2.549040,2.549040,105753
2021-06-23,2.551753,3.706448,2.501315,3.634632,3.634632,145356
2021-06-24,3.508399,5.144681,3.283145,4.959058,4.959058,196413
2021-06-25,4.956316,7.500476,4.807571,7.206406,7.206406,286048
2021-06-26,7.203472,7.427405,6.914405,7.356040,7.356040,262678
2021-06-27,7.375936,7.950312,7.353836,7.941662,7.941662,302105
2021-06-28,7.952597,8.064257,7.756317,7.898787,7.898787,297676
2021-06-29,7.894206,8.368222,7.664385,7.825877,7.825877,306564
2021-06-30,7.813169,8.118349,7.528000,7.964374,7.964374,303822
2021-07-01,7.966112,7.981071,6.994170,7.294681,7.294681,279575
2021-07-02,7.302591,7.399627,6.982136,7.280775,7.280775,274039
2021-07-03,7.280389,7.615307,7.107967,7.478969,7.478969,260958
2021-07-04,7.478659,7.859879,7.358007,7.722751,7.722751,303587
2021-07-05,7.724677,7.725795,7.174107,7.265920,7.265920,287258
2021-07-06,7.249625,7.626831,7.196631,7.417417,7.417417,285978
2021-07-07,7.424543,7.636696,4.231012,4.284324,4.284324,122121
2021-07-08,4.286355,4.733897,4.091587,4.638186,4.638186,69816
2021-07-09,4.642800,4.867773,4.478662,4.690150,4.690150,99607
2021-07-10,4.681178,4.907531,4.594023,4.741090,4.741090,106101
2021-07-11,4.742918,4.918918,4.620996,4.704163,4.704163,97673
2021-07-12,4.704779,4.987048,4.499601,4.541044,4.541044,112004
2021-07-13,4.540657,4.840469,4.408767,4.570012,4.570012,92007
2021-07-14,4.570936,4.785803,4.339559,4.654644,4.654644,93907
2021-07-15,4.654695,4.821651,4.269692,4.560431,4.560431,96446
2021-07-16,4.570638,4.691540,4.282901,4.442219,4.442219,88406
2021-07-17,4.441330,4.584613,4.300328,4.332711,4.332711,88174
2021-07-18,4.333685,4.666437,4.299008,4.515953,4.515953,87292
2021-07-19,4.517508,4.562153,4.206992,4.360786,4.360786,88795
2021-07-20,4.361017,4.374300,4.051281,4.323711,4.323711,89398
2021-07-21,4.322995,4.663058,4.088945,4.529079,4.529079,88400
2021-07-22,4.529410,4.666591,4.370610,4.433634,4.433634,82625
2021-07-23,4.432412,4.733582,4.391916,4.702330,4.702330,82742
2021-07-24,4.705429,4.862421,4.586110,4.712479,4.712479,97611
2021-07-25,4.715024,4.965157,4.626937,4.906578,4.906578,92880
2021-07-26,4.906401,5.591425,4.888183,5.310659,5.310659,110761
2021-07-27,5.305364,5.592114,5.026034,5.564524,5.564524,106467
2021-07-28,5.566608,5.715105,5.301122,5.481182,5.481182,251590
2021-07-29,5.478072,5.763837,5.372146,5.551135,5.551135,614443
2021-07-30,5.553729,5.989714,5.215908,5.945296,5.945296,658137
2021-07-31,5.960316,5.992280,5.599761,5.822284,5.822284,670702
2021-08-01,5.811077,6.018394,5.364396,5.541644,5.541644,626641
2021-08-02,5.528810,5.720730,5.305783,5.427211,5.427211,654085
2021-08-03,5.430772,5.639756,5.170982,5.363333,5.363333,587948
2021-08-04,5.365713,5.624063,5.132236,5.565561,5.565561,619319
2021-08-05,5.562219,5.759609,5.126474,5.716521,5.716521,650498
2021-08-06,5.716272,6.162029,5.423844,5.843811,5.843811,640687
2021-08-07,5.834354,6.355731,5.804288,6.345059,6.345059,750003
2021-08-08,6.327639,6.495746,6.017460,6.166699,6.166699,695501
2021-08-09,6.172772,6.676460,5.913812,6.543148,6.543148,523610
2021-08-10,6.554312,6.645598,6.080853,6.403504,6.403504,284144
2021-08-11,6.406832,6.683197,6.154409,6.524411,6.524411,292437
2021-08-12,6.515264,6.644221,5.422270,6.018222,6.018222,87940
2021-08-13,6.017708,6.787345,5.987829,6.468009,6.468009,291629
2021-08-14,6.462782,7.027773,6.445132,6.769746,6.769746,277619
2021-08-15,6.773595,7.019814,6.234709,6.409983,6.409983,286866
2021-08-16,6.404289,6.776497,6.168779,6.315981,6.315981,284003
2021-08-17,6.310168,6.568350,6.104192,6.218865,6.218865,136784
2021-08-18,6.218209,6.404287,5.479060,6.114395,6.114395,196567
2021-08-19,6.111292,6.236255,5.582481,5.943088,5.943088,101496
2021-08-20,5.944641,6.445548,5.747628,6.396719,6.396719,278912
2021-08-21,6.396333,6.427506,5.948108,6.053912,6.053912,281707
2021-08-22,6.051044,6.436500,5.920240,6.119372,6.119372,285574
2021-08-23,6.118029,6.483625,6.034444,6.234990,6.234990,292775
2021-08-24,6.236414,6.444952,5.892245,5.977245,5.977245,263040
2021-08-25,5.971344,6.249459,5.815009,6.197345,6.197345,295636
2021-08-26,6.198681,6.418917,5.748598,5.884015,5.884015,259083
2021-08-27,5.884204,6.334478,5.775278,6.070615,6.070615,289872
2021-08-28,6.075915,6.423672,5.728692,5.984054,5.984054,2352
2021-08-29,5.916213,6.073957,5.458782,5.614359,5.614359,2796
2021-08-30,5.614942,5.619106,5.312890,5.321448,5.321448,3089
2021-08-31,5.327858,5.518607,5.263340,5.300920,5.300920,3004
2021-09-01,5.301064,5.624434,5.251424,5.618349,5.618349,2912
2021-09-02,5.616920,5.769687,5.482269,5.647979,5.647979,2934
2021-09-03,5.646544,5.847609,5.466902,5.723545,5.723545,2567
2021-09-04,5.721902,5.805461,5.568787,5.649707,5.649707,2293
2021-09-05,5.649736,5.956275,5.583954,5.849624,5.849624,3060
2021-09-06,5.850206,5.973449,5.737923,5.801332,5.801332,3186
2021-09-07,5.802658,5.884091,4.537421,4.580897,4.580897,2639
2021-09-08,4.580001,4.755335,4.359887,4.573219,4.573219,2019
2021-09-09,4.625713,4.798339,4.491990,4.654892,4.654892,2248
2021-09-10,4.656307,4.777231,4.349732,4.565674,4.565674,2673
2021-09-11,4.566938,4.656053,4.398427,4.539116,4.539116,2209
2021-09-12,4.540939,4.707767,4.382299,4.598454,4.598454,2750
2021-09-13,4.594811,4.721583,4.283283,4.520397,4.520397,3110
2021-09-14,4.520138,4.792096,4.410906,4.773281,4.773281,2453
2021-09-15,4.775179,4.922105,4.582856,4.798154,4.798154,2890
2021-09-16,4.798364,4.926554,4.643160,4.705638,4.705638,2681
2021-09-17,4.706183,4.895854,4.601880,4.734143,4.734143,2610
2021-09-18,4.738096,4.958575,4.628012,4.894709,4.894709,2633
2021-09-19,4.897840,4.914995,4.637228,4.642556,4.642556,2461
2021-09-20,4.641426,4.768294,4.174740,4.259557,4.259557,3125
2021-09-21,4.256103,4.437074,3.952783,4.107544,4.107544,2724
2021-09-22,4.121456,5.268680,4.019615,5.136036,5.136036,2984
2021-09-23,5.134820,8.806791,5.042756,8.005920,8.005920,3899
2021-09-24,8.005245,36.350826,1.277092,2.559392,2.559392,4294
2021-09-25,2.559247,3.054370,1.463928,2.607858,2.607858,1853
2021-09-26,2.607848,2.695201,2.485220,2.610120,2.610120,2237
2021-09-27,2.608500,2.801521,2.147503,2.157836,2.157836,2411
2021-09-28,2.157824,3.467511,2.107631,3.289150,3.289150,1774
2021-09-29,3.293843,3.437561,2.305161,2.386094,2.386094,2769
2021-09-30,2.387873,2.513337,1.159974,1.230177,1.230177,4328
2021-10-01,1.230524,2.968857,1.196906,2.866343,2.866343,5908
2021-10-02,2.864883,2.867630,2.728796,2.770770,2.770770,1990
2021-10-03,2.769652,4.209081,1.406257,2.011116,2.011116,2704
2021-10-04,2.011384,4.231776,1.903703,2.014011,2.014011,3545
2021-10-05,2.014120,3.796826,1.918452,1.986520,1.986520,3839
2021-10-06,1.987442,3.145124,1.957946,2.743753,2.743753,3899
2021-10-07,2.742053,4.168266,2.288397,2.402866,2.402866,2887
2021-10-08,2.402975,2.463001,2.172206,2.343229,2.343229,2352
2021-10-09,2.343824,2.437624,2.318255,2.365442,2.365442,2608
2021-10-10,2.365832,2.431797,2.311115,2.355724,2.355724,3790
2021-10-11,2.354082,3.700588,2.328023,3.229439,3.229439,2965
2021-10-12,3.230645,3.303227,2.949902,3.095786,3.095786,2377
2021-10-13,3.094587,3.240372,2.937120,3.188768,3.188768,2987
2021-10-14,3.188057,3.282386,3.082802,3.098925,3.098925,2306
2021-10-15,3.098228,3.427108,3.082980,3.336517,3.336517,3283
2021-10-16,3.334696,3.418170,3.064492,3.190391,3.190391,1940
2021-10-17,3.190750,3.328242,3.095721,3.322960,3.322960,2306
2021-10-18,3.322049,3.375440,3.121694,3.348782,3.348782,3179
2021-10-19,3.348788,3.404941,3.102883,3.401001,3.401001,2575
2021-10-20,3.401387,3.540096,3.237783,3.447225,3.447225,2610
2021-10-21,3.446806,3.512380,3.166992,3.178834,3.178834,2813
2021-10-22,3.178318,3.372060,3.068528,3.189026,3.189026,2192
2021-10-23,3.188772,3.263018,3.066345,3.123832,3.123832,1784
2021-10-24,3.124935,3.243897,3.037039,3.226264,3.226264,2511
2021-10-25,3.225069,3.341087,3.099046,3.207892,3.207892,1717
