Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,450.940247,459.569641,385.967987,411.016083,411.016083,253908869
2021-05-11,411.032623,440.439209,389.171448,440.000366,440.000366,214026609
2021-05-12,439.797882,525.106995,434.727325,447.939423,447.939423,721338145
2021-05-13,464.310883,587.298523,438.964813,528.935547,528.935547,1532424877
2021-05-14,528.845825,594.815308,507.206665,594.440247,594.440247,773333899
2021-05-15,596.336975,614.635132,537.692139,545.199646,545.199646,671054546
2021-05-16,544.780518,607.611267,495.671661,543.568542,543.568542,600836921
2021-05-17,542.342896,606.375183,480.171936,575.248840,575.248840,838801608
2021-05-18,571.892761,623.752808,561.020508,592.689331,592.689331,612715250
2021-05-19,593.751770,601.167847,233.943008,345.837646,345.837646,936636657
2021-05-20,338.044861,449.715210,287.125397,389.607513,389.607513,809292172
2021-05-21,388.704041,438.082825,266.516479,337.734497,337.734497,658059266
2021-05-22,340.848114,352.673889,284.028625,313.810425,313.810425,329304086
2021-05-23,315.216461,336.774933,201.768417,262.967743,262.967743,479322245
2021-05-24,262.006073,349.282227,253.927109,347.815277,347.815277,454837323
2021-05-25,348.867340,372.004395,283.255402,320.936615,320.936615,463263172
2021-05-26,321.824097,360.382416,311.166992,342.940552,342.940552,346415976
2021-05-27,343.090576,343.090576,301.946594,313.800018,313.800018,240057717
2021-05-28,314.739624,343.465149,271.302307,287.988800,287.988800,321899169
2021-05-29,289.166016,302.060760,258.253967,297.743530,297.743530,222201699
2021-05-30,297.841309,319.878845,275.708191,310.942017,310.942017,253800920
2021-05-31,310.383148,377.940948,291.685059,371.393494,371.393494,327086626
2021-06-01,371.637421,376.660767,348.338379,368.188263,368.188263,314444602
2021-06-02,367.324921,475.422943,361.578705,446.797577,446.797577,527617671
2021-06-03,447.327087,483.661896,445.973022,462.181793,462.181793,457725986
2021-06-04,462.784729,462.942810,381.756073,417.530365,417.530365,588947038
2021-06-05,420.859955,454.060608,384.635010,403.799408,403.799408,356014933
2021-06-06,402.810272,419.894104,397.517395,419.202393,419.202393,204303703
2021-06-07,422.065063,446.346100,374.577698,378.352081,378.352081,328748105
2021-06-08,378.494354,420.355499,344.243347,415.448883,415.448883,685011857
2021-06-09,411.748260,516.049683,389.690948,511.306366,511.306366,758072814
2021-06-10,511.285248,536.959167,461.213867,473.067230,473.067230,812977588
2021-06-11,474.139832,492.995697,405.545746,414.631500,414.631500,470802212
2021-06-12,416.114471,428.097961,386.251373,397.996094,397.996094,416766990
2021-06-13,399.899200,449.080536,387.053436,434.717621,434.717621,361546923
2021-06-14,434.193665,439.333160,401.476318,432.014130,432.014130,373035494
2021-06-15,416.322083,428.657898,386.648407,422.974365,422.974365,393003329
2021-06-16,383.077515,389.739502,354.589783,365.153046,365.153046,349960490
2021-06-17,366.021698,376.620392,339.998749,347.675964,347.675964,228204695
2021-06-18,347.588989,347.588989,300.520508,313.344513,313.344513,273791466
2021-06-19,315.316864,325.967102,300.981476,302.338165,302.338165,187224303
2021-06-20,300.913605,314.848663,272.419525,301.169983,301.169983,261499960
2021-06-21,300.347534,302.305176,208.018661,211.801559,211.801559,358714775
2021-06-22,211.579285,234.965408,164.397385,181.310654,181.310654,463893273
2021-06-23,182.032059,224.188263,173.513580,206.139969,206.139969,373094664
2021-06-24,204.180801,216.941132,186.633911,205.319824,205.319824,227120320
2021-06-25,205.190948,212.754532,172.477661,175.491943,175.491943,222526960
2021-06-26,175.041992,180.617447,157.052521,172.922302,172.922302,200516115
2021-06-27,173.648956,179.117722,162.143188,177.916534,177.916534,154000141
2021-06-28,178.764053,229.556198,175.611877,217.999207,217.999207,393867155
2021-06-29,219.852768,236.435242,206.701126,212.312286,212.312286,372377820
2021-06-30,214.374527,216.341644,191.208023,214.788742,214.788742,314552299
2021-07-01,214.592682,214.592682,193.317825,200.279449,200.279449,200965417
2021-07-02,199.190323,206.819443,190.635910,205.339264,205.339264,146536424
2021-07-03,204.267242,213.557678,198.301086,206.377167,206.377167,134490818
2021-07-04,206.771881,217.735870,200.856277,210.121109,210.121109,150292468
2021-07-05,209.992172,209.992172,193.850708,198.608749,198.608749,138848240
2021-07-06,198.261185,225.474091,197.986938,224.833145,224.833145,197821005
2021-07-07,224.288666,244.054092,224.288666,236.687668,236.687668,339353188
2021-07-08,237.013519,237.706451,205.946350,213.241180,213.241180,217217897
2021-07-09,212.579437,216.250916,200.318863,212.500168,212.500168,131458762
2021-07-10,212.847336,218.567383,203.304214,207.689224,207.689224,100772971
2021-07-11,207.934662,214.877975,204.509079,210.511246,210.511246,92602742
2021-07-12,210.450195,213.356262,193.472366,201.092117,201.092117,119501029
2021-07-13,200.847336,203.880554,189.767578,192.224411,192.224411,95964439
2021-07-14,192.534500,196.779556,177.266342,187.525925,187.525925,117765321
2021-07-15,187.602234,209.652847,180.306473,201.261612,201.261612,199797535
2021-07-16,201.412949,202.247772,179.875763,180.880219,180.880219,125198441
2021-07-17,180.271225,187.353348,175.949265,177.970444,177.970444,106082068
2021-07-18,178.185791,187.500473,177.902222,181.545670,181.545670,86333098
2021-07-19,181.368668,182.480331,161.598419,163.168152,163.168152,104910461
2021-07-20,163.685303,166.976089,142.199066,148.845673,148.845673,131771196
2021-07-21,148.601273,182.387985,144.409058,173.618057,173.618057,155965000
2021-07-22,173.887329,178.394257,165.582474,175.565201,175.565201,128342276
2021-07-23,175.570068,179.467499,163.445740,178.235565,178.235565,127190173
2021-07-24,177.895187,189.008255,174.353622,186.379990,186.379990,139332102
2021-07-25,185.963287,189.746582,176.013535,184.316864,184.316864,133167399
