Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,2.995329,3.066736,2.942999,2.948045,2.948045,4354318
2021-05-10,2.947829,3.591945,2.914163,3.489149,3.489149,7609342
2021-05-11,3.489355,3.765916,3.297884,3.758848,3.758848,6377347
2021-05-12,3.758550,3.918254,3.758550,3.890518,3.890518,7187900
2021-05-13,3.890685,3.890685,3.361134,3.402160,3.402160,6174728
2021-05-14,3.402108,3.923014,3.318245,3.330403,3.330403,7638106
2021-05-15,3.324740,3.722309,3.306456,3.647843,3.647843,5372285
2021-05-16,3.644802,3.808587,3.390538,3.579963,3.579963,5944493
2021-05-17,3.578894,3.900055,3.225745,3.277339,3.277339,3497613
2021-05-18,3.265163,3.290417,2.814706,2.845741,2.845741,6337898
2021-05-19,2.850652,3.264206,2.599733,2.792683,2.792683,9373460
2021-05-20,2.788380,3.009501,2.662688,2.943431,2.943431,5919753
2021-05-21,2.949376,3.026850,2.547806,2.581406,2.581406,7925768
2021-05-22,2.583972,2.591949,2.448994,2.448994,2.448994,4585443
2021-05-23,2.454058,2.660271,2.264503,2.514244,2.514244,4598538
2021-05-24,2.513757,2.547091,2.324457,2.357678,2.357678,4543040
2021-05-25,2.355644,2.446103,2.267964,2.272616,2.272616,4162950
2021-05-26,2.277597,2.297015,2.162898,2.164232,2.164232,2671179
2021-05-27,2.167098,2.171801,2.034513,2.063865,2.063865,4316099
2021-05-28,2.061405,2.176552,2.038219,2.133340,2.133340,3464089
2021-05-29,2.133849,2.149567,2.035847,2.072305,2.072305,3103034
2021-05-30,2.074189,2.276308,2.048088,2.257785,2.257785,3022279
2021-05-31,2.256171,2.452129,2.230813,2.404936,2.404936,3612880
2021-06-01,2.406055,2.678564,2.361392,2.673816,2.673816,3552802
2021-06-02,2.676686,2.894089,2.635422,2.729927,2.729927,4340031
2021-06-03,2.736249,2.951026,2.714948,2.870477,2.870477,4123491
2021-06-04,2.873592,2.955137,2.679303,2.707970,2.707970,4319014
2021-06-05,2.707692,2.749280,2.585179,2.627359,2.627359,4025088
2021-06-06,2.625087,2.679680,2.480372,2.499184,2.499184,3620299
2021-06-07,2.497472,2.531872,2.386149,2.463576,2.463576,1063966
2021-06-08,2.463217,2.855070,2.408421,2.613899,2.613899,4881116
2021-06-09,2.621790,2.631296,2.443821,2.462559,2.462559,2981771
2021-06-10,2.463182,2.492443,2.369220,2.379022,2.379022,3149574
2021-06-11,2.379162,2.561263,2.346744,2.403925,2.403925,3013163
2021-06-12,2.406325,2.448311,2.343028,2.390390,2.390390,2888602
2021-06-13,2.391895,2.780201,2.379381,2.767413,2.767413,4320101
2021-06-14,2.767844,2.869015,2.518314,2.856062,2.856062,4338795
2021-06-15,2.415525,2.528448,2.366643,2.408954,2.408954,5248259
2021-06-16,2.378545,2.703017,2.370091,2.547079,2.547079,1880382
2021-06-17,2.551769,2.734835,2.536237,2.551469,2.551469,3336259
2021-06-18,2.551576,2.657820,2.514110,2.628005,2.628005,3029296
2021-06-19,2.628102,2.661812,2.565927,2.584255,2.584255,573504
2021-06-20,2.584315,2.647838,2.491002,2.576334,2.576334,3103458
2021-06-21,2.575366,2.592800,2.444429,2.491180,2.491180,3187336
2021-06-22,2.497200,2.579901,2.307498,2.484299,2.484299,3094259
2021-06-23,2.483992,2.743112,2.397321,2.497758,2.497758,4138516
2021-06-24,2.428359,2.622105,2.390779,2.425367,2.425367,2961175
2021-06-25,2.424568,2.533561,2.322484,2.357269,2.357269,1886488
2021-06-26,2.357296,2.402034,2.147750,2.154408,2.154408,5034836
2021-06-27,2.156466,2.435212,2.064597,2.082421,2.082421,5080957
2021-06-28,2.083850,2.482330,2.072468,2.419477,2.419477,4001785
2021-06-29,2.415078,2.485569,2.298058,2.420267,2.420267,3129490
2021-06-30,2.416697,2.544692,2.315724,2.544692,2.544692,2842574
2021-07-01,2.548725,2.550372,2.376079,2.414958,2.414958,2885714
2021-07-02,2.416164,2.419475,2.302195,2.351051,2.351051,2730125
2021-07-03,2.350869,2.443377,2.341583,2.351288,2.351288,478932
2021-07-04,2.351191,2.473906,2.344967,2.408393,2.408393,2982206
2021-07-05,2.408728,2.622705,2.381883,2.561859,2.561859,2244352
2021-07-06,2.560906,2.716518,2.546855,2.711432,2.711432,3224855
2021-07-07,2.712546,2.749905,2.686814,2.722469,2.722469,2925078
2021-07-08,2.725550,2.891976,2.687417,2.876159,2.876159,3478732
2021-07-09,2.874348,2.931187,2.843137,2.900785,2.900785,2820116
2021-07-10,2.894748,2.922668,2.809952,2.877983,2.877983,2754530
2021-07-11,2.878704,2.933221,2.877273,2.896669,2.896669,2825815
2021-07-12,2.896873,2.933341,2.866764,2.919532,2.919532,2778722
2021-07-13,2.917255,2.942250,2.876634,2.920410,2.920410,266082
2021-07-14,2.920383,2.949192,2.848016,2.934500,2.934500,2911206
2021-07-15,2.934908,2.969013,2.863158,2.887092,2.887092,2756152
2021-07-16,2.891877,2.974499,2.884108,2.919219,2.919219,2949109
2021-07-17,2.918730,2.951754,2.890347,2.916029,2.916029,2945898
2021-07-18,2.916456,2.993334,2.915644,2.967849,2.967849,2966925
2021-07-19,2.968042,3.022813,2.900667,3.008572,3.008572,2935448
2021-07-20,3.008627,3.145450,2.943132,3.145450,3.145450,2122127
2021-07-21,3.143285,3.174650,2.567558,2.576336,2.576336,2679062
2021-07-22,2.577844,2.787847,2.521253,2.787847,2.787847,1483778
2021-07-23,2.788092,2.825581,2.669940,2.794620,2.794620,2199102
2021-07-24,2.794665,2.962312,2.786037,2.889461,2.889461,1907887
2021-07-25,2.890571,2.931485,2.756849,2.784816,2.784816,1876623
2021-07-26,2.784034,3.043149,2.548126,2.765753,2.765753,3208832
2021-07-27,2.764641,2.903173,2.710976,2.833383,2.833383,2285799
2021-07-28,2.835516,3.101896,2.703231,3.100978,3.100978,2564036
2021-07-29,3.099886,3.111389,2.701194,2.795399,2.795399,2464364
2021-07-30,2.796243,2.999680,2.789634,2.993716,2.993716,1867588
2021-07-31,2.994440,3.079266,2.978713,3.058049,3.058049,2023552
2021-08-01,3.056414,3.102835,2.930614,3.086406,3.086406,2222937
2021-08-02,3.084032,3.105792,2.974399,3.086131,3.086131,2183713
2021-08-03,3.086862,3.106988,2.981734,2.996052,2.996052,2075652
2021-08-04,2.996896,3.057671,2.985657,3.003596,3.003596,2052329
2021-08-05,3.001917,3.066416,2.965915,3.009375,3.009375,1996936
2021-08-06,3.005962,3.088768,2.974171,3.018138,3.018138,2182493
2021-08-07,3.016825,3.056925,2.980508,3.015746,3.015746,2316346
2021-08-08,3.012255,3.016793,2.946883,2.992546,2.992546,1974273
2021-08-09,2.994237,3.006696,2.719881,2.968832,2.968832,3815091
2021-08-10,2.969924,3.005229,2.882434,2.983615,2.983615,2036898
2021-08-11,2.984750,3.014944,2.866428,2.876299,2.876299,2255028
2021-08-12,2.874447,2.973280,2.870666,2.952139,2.952139,2130055
2021-08-13,2.951232,3.002930,2.932715,2.976825,2.976825,2225690
2021-08-14,2.975974,3.001885,2.939112,2.986053,2.986053,2076217
2021-08-15,2.986304,3.009369,2.960114,2.994840,2.994840,2098507
2021-08-16,2.996125,3.010035,2.937785,2.990430,2.990430,2233572
2021-08-17,2.988917,3.029162,2.923909,2.966881,2.966881,2170337
2021-08-18,2.967141,2.991241,2.919962,2.966466,2.966466,2062767
2021-08-19,2.964925,3.012012,2.926833,2.995089,2.995089,2100978
2021-08-20,2.995958,3.026511,2.935288,2.950946,2.950946,2221348
2021-08-21,2.951641,2.994176,2.940417,2.950061,2.950061,1426749
2021-08-22,2.955278,2.995762,2.933006,2.960045,2.960045,1776313
2021-08-23,2.959218,3.012337,2.956823,2.990544,2.990544,2070894
2021-08-24,2.990743,3.034013,2.869007,2.878956,2.878956,2680324
2021-08-25,2.880569,3.003809,2.880569,2.948772,2.948772,3074231
2021-08-26,2.949345,3.020109,2.903205,2.923050,2.923050,3158765
2021-08-27,2.918429,3.002886,2.912645,2.977209,2.977209,2304673
2021-08-28,2.977561,2.993948,2.963730,2.989103,2.989103,2153581
2021-08-29,2.988773,3.005271,2.935775,2.960166,2.960166,2449091
2021-08-30,2.960579,3.006112,2.939879,2.971372,2.971372,2372089
2021-08-31,2.972189,3.022054,2.929660,2.945192,2.945192,2727546
2021-09-01,2.944118,2.998774,2.891502,2.968928,2.968928,2856336
2021-09-02,2.958724,2.968191,2.888043,2.937721,2.937721,2582429
2021-09-03,2.936820,2.995025,2.924550,2.995004,2.995004,2825369
2021-09-04,2.994738,2.996895,2.966815,2.977212,2.977212,2401808
2021-09-05,2.976667,3.009653,2.921371,2.958399,2.958399,3263488
2021-09-06,2.956231,3.120139,2.956231,2.981144,2.981144,4614065
2021-09-07,2.979821,3.186071,2.867228,3.143238,3.143238,4468390
2021-09-08,3.142546,3.213552,3.077934,3.118051,3.118051,3152986
2021-09-09,3.111459,3.180186,3.089806,3.145600,3.145600,2874883
2021-09-10,3.145299,3.169558,2.977143,3.043896,3.043896,3264608
2021-09-11,3.044700,3.088791,3.038149,3.082094,3.082094,2460058
2021-09-12,3.082972,3.139431,3.016884,3.038359,3.038359,2526227
2021-09-13,3.037431,3.130999,3.000428,3.061888,3.061888,2589843
2021-09-14,3.061464,3.088987,3.020749,3.076061,3.076061,2727431
2021-09-15,3.077197,3.171852,3.060830,3.171852,3.171852,2711780
2021-09-16,3.176740,3.214230,3.077230,3.077707,3.077707,3077785
2021-09-17,3.077267,3.115522,2.965082,3.108435,3.108435,2642462
2021-09-18,3.109862,3.178811,3.028449,3.119938,3.119938,3491600
2021-09-19,3.120853,3.158437,2.995738,3.013079,3.013079,2682006
2021-09-20,3.012573,3.092928,2.922496,2.957014,2.957014,2876861
2021-09-21,2.962485,3.037047,2.911686,3.016200,3.016200,3244819
2021-09-22,3.024004,3.056575,2.986421,3.038373,3.038373,2687192
2021-09-23,3.038155,3.045398,2.970200,3.015012,3.015012,2476491
2021-09-24,3.014646,3.016223,2.896082,2.958946,2.958946,3455167
2021-09-25,2.958736,2.960720,2.824650,2.832168,2.832168,2832725
2021-09-26,2.832445,2.891872,2.772772,2.799537,2.799537,2758990
2021-09-27,2.800943,2.851217,2.713770,2.724773,2.724773,3067419
2021-09-28,2.724482,2.764235,2.656105,2.683625,2.683625,2476334
2021-09-29,2.685192,2.938925,2.666623,2.916166,2.916166,2367805
2021-09-30,2.916312,2.992384,2.793773,2.821115,2.821115,2921797
2021-10-01,2.828473,2.954175,2.820990,2.898832,2.898832,2602712
2021-10-02,2.900556,2.957301,2.897721,2.954397,2.954397,2192647
2021-10-03,2.943201,2.970032,2.886052,2.947379,2.947379,2443315
2021-10-04,2.951590,2.967238,2.880085,2.906964,2.906964,2838793
2021-10-05,2.906198,2.970185,2.902349,2.959084,2.959084,2743506
2021-10-06,2.957009,2.967254,2.889301,2.896925,2.896925,2753874
2021-10-07,2.901418,2.963442,2.888127,2.899025,2.899025,2556543
2021-10-08,2.898439,2.912622,2.769485,2.780317,2.780317,2495550
2021-10-09,2.788762,2.849692,2.776076,2.838253,2.838253,2268219
2021-10-10,2.829472,2.889231,2.758812,2.769014,2.769014,2679889
2021-10-11,2.768707,2.776777,2.729187,2.742823,2.742823,2421878
2021-10-12,2.744428,2.817015,2.742736,2.803812,2.803812,2592987
2021-10-13,2.804171,2.822645,2.689230,2.807292,2.807292,2437895
2021-10-14,2.807324,2.816971,2.669834,2.678873,2.678873,3044871
2021-10-15,2.678917,2.972733,2.626394,2.845787,2.845787,3538868
2021-10-16,2.845949,2.906649,2.835380,2.904049,2.904049,3150023
2021-10-17,2.900698,2.950544,2.852202,2.872941,2.872941,2965065
2021-10-18,2.873435,2.962544,2.855701,2.913384,2.913384,2792035
2021-10-19,2.913042,2.986186,2.855510,2.983566,2.983566,2767978
2021-10-20,2.983606,3.169382,2.897639,3.168136,3.168136,3336668
2021-10-21,3.168409,3.357483,3.023913,3.187424,3.187424,3502650
2021-10-22,3.194991,3.417379,3.177077,3.413186,3.413186,2763323
2021-10-23,3.414481,3.479399,3.215009,3.215009,3.215009,2674732
2021-10-24,3.214764,3.284388,3.041334,3.255488,3.255488,2646504
2021-10-25,3.255329,3.279809,3.148671,3.254197,3.254197,3122442
2021-10-26,3.265156,3.382104,3.251821,3.378342,3.378342,2817188
2021-10-27,3.379998,3.431089,3.139173,3.152013,3.152013,3045815
2021-10-28,3.151596,3.238328,3.120498,3.214047,3.214047,2724667
2021-10-29,3.211116,3.347447,3.121804,3.288169,3.288169,2816703
2021-10-30,3.287448,3.334906,3.149146,3.318456,3.318456,2749663
2021-10-31,3.324769,3.371709,3.245537,3.349680,3.349680,2780027
2021-11-01,3.342016,3.424106,3.311024,3.315819,3.315819,3120434
2021-11-02,3.312889,3.386898,3.311828,3.355286,3.355286,3401929
2021-11-03,3.360835,3.420698,3.318698,3.393197,3.393197,3272510
2021-11-04,3.393331,3.427523,3.267404,3.276859,3.276859,2957322
2021-11-05,3.279781,3.330850,3.136503,3.186704,3.186704,3071458
2021-11-06,3.186597,3.326785,3.179511,3.241634,3.241634,2801643
2021-11-07,3.241342,3.298768,3.202107,3.277699,3.277699,2698590
2021-11-08,3.275474,3.348398,3.221901,3.277095,3.277095,2886860
2021-11-09,3.279040,3.360560,3.222947,3.348676,3.348676,2941561
2021-11-10,3.355323,3.479134,3.249813,3.463375,3.463375,3034313
2021-11-11,3.462893,3.505266,3.229458,3.230813,3.230813,3116175
2021-11-12,3.230220,3.231627,3.116520,3.119559,3.119559,2936180
2021-11-13,3.120521,3.121380,2.706340,2.799619,2.799619,3551468
2021-11-14,2.799607,2.939611,2.685603,2.911832,2.911832,2951398
2021-11-15,2.913180,2.999680,2.910781,2.981363,2.981363,2492726
2021-11-16,2.982788,3.149295,2.892813,3.065875,3.065875,3968457
2021-11-17,3.060409,3.160394,3.027921,3.141166,3.141166,2711378
2021-11-18,3.139544,3.164952,3.058245,3.161623,3.161623,2786176
2021-11-19,3.162025,3.228104,3.129001,3.147765,3.147765,745557
2021-11-20,3.150358,3.228870,3.131199,3.204158,3.204158,479900
2021-11-21,3.204511,3.333640,3.190396,3.300621,3.300621,2981354
2021-11-22,3.306651,3.534282,3.273968,3.359083,3.359083,3179539
2021-11-23,3.358954,3.508429,3.303659,3.316632,3.316632,2909560
2021-11-24,3.316582,3.483748,3.232591,3.387044,3.387044,2914468
2021-11-25,3.239103,3.413115,3.101750,3.324071,3.324071,2896140
2021-11-26,3.116300,3.164353,3.110401,3.164306,3.164306,2426722
2021-11-27,3.165718,3.291443,3.111974,3.129153,3.129153,2640869
2021-11-28,3.118730,3.414336,3.115004,3.411904,3.411904,2852970
2021-11-29,3.414132,3.476708,3.293943,3.351751,3.351751,3118212
2021-11-30,3.351524,3.480846,3.233054,3.358182,3.358182,3056638
2021-12-01,3.346279,3.539109,3.280652,3.338359,3.338359,3033231
2021-12-02,3.342699,3.551908,3.281840,3.446241,3.446241,3080626
2021-12-03,3.445965,3.607936,3.299983,3.299983,3.299983,3253772
2021-12-04,3.300940,3.675286,3.190167,3.548623,3.548623,5340723
2021-12-05,3.547686,3.682787,3.339483,3.600424,3.600424,3271976
2021-12-06,3.598428,3.678720,3.375143,3.615098,3.615098,3695298
2021-12-07,3.614665,3.697998,3.540056,3.628753,3.628753,3377094
2021-12-08,3.627316,3.700987,3.560920,3.609823,3.609823,3444596
2021-12-09,3.609613,3.701755,3.572927,3.700702,3.700702,3062336
2021-12-10,3.700557,3.716587,3.681398,3.708612,3.708612,2951185
2021-12-11,3.709755,3.738972,3.703742,3.736460,3.736460,3126782
2021-12-12,3.736588,3.739467,3.619167,3.726886,3.726886,3195612
2021-12-13,3.727361,3.737746,3.594062,3.625105,3.625105,3152893
2021-12-14,3.623991,3.630104,3.398313,3.520084,3.520084,2950737
2021-12-15,3.470402,3.558264,3.389607,3.536151,3.536151,3229704
2021-12-16,3.535996,3.656748,3.535650,3.587060,3.587060,2965374
2021-12-17,3.587020,3.683391,3.482274,3.606339,3.606339,3075141
2021-12-18,3.605870,3.645547,3.478650,3.514048,3.514048,3098721
2021-12-19,3.514397,3.610846,3.455883,3.476721,3.476721,2830243
2021-12-20,3.485732,3.632880,3.475276,3.572333,3.572333,3109859
2021-12-21,3.570406,3.712300,3.570406,3.608678,3.608678,3133026
2021-12-22,3.606644,3.720359,3.591256,3.615981,3.615981,3410475
2021-12-23,3.615721,3.721547,3.563183,3.624206,3.624206,3972614
2021-12-24,3.610390,3.644442,3.560789,3.582913,3.582913,3493405
2021-12-25,3.582730,3.692266,3.559448,3.568459,3.568459,3627868
2021-12-26,3.570094,3.580547,3.468650,3.490174,3.490174,3493967
2021-12-27,3.489590,3.619755,3.439816,3.466472,3.466472,4111884
2021-12-28,3.468454,3.599235,3.417217,3.588468,3.588468,4019275
2021-12-29,3.587835,3.743538,3.585234,3.721701,3.721701,4081821
2021-12-30,3.721869,3.807811,3.721869,3.790645,3.790645,4179349
2021-12-31,3.790808,3.837396,3.737715,3.768074,3.768074,4707323
2022-01-01,3.763951,3.812939,3.759940,3.803560,3.803560,3760449
2022-01-02,3.803683,3.830751,3.778761,3.779418,3.779418,3780648
2022-01-03,3.781250,3.814783,3.763809,3.795962,3.795962,4278114
2022-01-04,3.795788,3.817335,3.762008,3.783945,3.783945,4047415
2022-01-05,3.783732,3.847076,3.768596,3.801806,3.801806,4385916
2022-01-06,3.801665,3.834191,3.754284,3.767950,3.767950,4083572
2022-01-07,3.767751,3.858680,3.551117,3.563759,3.563759,5417145
2022-01-08,3.564657,3.763081,3.562899,3.752081,3.752081,4323459
2022-01-09,3.752200,3.852490,3.746622,3.752956,3.752956,3999201
2022-01-10,3.753140,3.799057,3.706069,3.741364,3.741364,4229350
2022-01-11,3.741464,3.788866,3.718040,3.735390,3.735390,3923284
2022-01-12,3.733634,3.861762,3.726746,3.849265,3.849265,3961350
2022-01-13,3.850884,3.873976,3.799122,3.804585,3.804585,3951001
2022-01-14,3.804549,3.875527,3.764124,3.775702,3.775702,4091226
2022-01-15,3.775661,3.828403,3.764910,3.769262,3.769262,4034964
2022-01-16,3.770296,3.837667,3.740130,3.787922,3.787922,3891523
2022-01-17,3.786336,3.865480,3.742462,3.771328,3.771328,3980155
