Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,5637.699219,5682.680176,5056.144531,5282.580078,5282.580078,366649358
2021-05-10,5280.562012,5443.906250,4700.699219,4993.967285,4993.967285,381972837
2021-05-11,4984.208984,5406.878906,4744.436523,5378.698242,5378.698242,390896422
2021-05-12,5373.717773,6074.910156,4870.022949,4870.022949,4870.022949,836031974
2021-05-13,4923.401367,5301.129883,4447.666016,4764.651367,4764.651367,695769388
2021-05-14,4757.048828,5344.326172,4724.207520,5009.063965,5009.063965,387449597
2021-05-15,5007.617676,5131.250000,4591.904297,4601.494141,4601.494141,378885412
2021-05-16,4596.069336,4915.640625,4212.105469,4548.456543,4548.456543,364410792
2021-05-17,4545.254883,4777.626953,4137.794434,4249.343750,4249.343750,420356936
2021-05-18,4250.517090,5034.972168,4212.145508,4657.817383,4657.817383,411613893
2021-05-19,4657.295410,4735.193359,2571.302734,3510.677002,3510.677002,668547468
2021-05-20,3480.934326,4217.342773,3037.357910,3956.245117,3956.245117,475673640
2021-05-21,3942.360596,4178.727539,2721.440430,3116.382568,3116.382568,365983887
2021-05-22,3118.791504,3211.261719,2552.787354,2767.623535,2767.623535,395228772
2021-05-23,2770.844727,2882.958008,1835.964478,2736.424072,2736.424072,628742188
2021-05-24,2726.743896,4238.759277,2726.743896,4176.240723,4176.240723,1215574613
2021-05-25,4172.390137,4334.236328,3304.908447,3865.091553,3865.091553,624392843
2021-05-26,3863.703857,4030.129150,3676.454102,3973.236328,3973.236328,360408547
2021-05-27,3973.410889,3973.410889,3582.378418,3704.652588,3704.652588,237614099
2021-05-28,3712.200439,3777.244385,3130.109375,3250.114502,3250.114502,231798096
2021-05-29,3251.147949,3449.796875,2873.012939,3059.165527,3059.165527,195692290
2021-05-30,3066.387207,3445.692383,2856.768555,3309.948975,3309.948975,214585881
2021-05-31,3309.216309,3609.264404,3170.210938,3592.297852,3592.297852,200461494
2021-06-01,3597.804443,3695.499756,3484.131348,3597.720947,3597.720947,193150118
2021-06-02,3594.161621,3724.212402,3509.666504,3560.779297,3560.779297,145147486
2021-06-03,3564.195313,3720.582520,3536.107910,3656.253418,3656.253418,155580374
2021-06-04,3657.487305,3968.775146,3449.397217,3729.447510,3729.447510,359861389
2021-06-05,3731.664551,3915.396484,3420.437744,3560.805176,3560.805176,198422741
2021-06-06,3557.099854,3642.109131,3514.382080,3617.613037,3617.613037,104783667
2021-06-07,3615.088379,3808.236328,3287.449707,3301.095947,3301.095947,168996344
2021-06-08,3309.696533,3364.745605,2894.579102,3251.080566,3251.080566,217626261
2021-06-09,3241.601318,3340.256592,3042.236572,3324.823975,3324.823975,149857133
2021-06-10,3329.671143,3339.041504,3051.104004,3116.090820,3116.090820,113360079
2021-06-11,3114.216553,3145.881104,2880.954590,2920.704834,2920.704834,96310078
2021-06-12,2925.483154,3042.870117,2781.542236,2937.646973,2937.646973,107907614
2021-06-13,2940.560791,3188.234863,2874.167480,3147.626709,3147.626709,95168806
2021-06-14,3146.583740,3262.329834,3090.529053,3190.796875,3190.796875,96978904
2021-06-15,3218.858643,3278.776367,3106.247803,3223.141846,3223.141846,103577384
2021-06-16,3155.193848,3155.193848,2925.979980,2944.639648,2944.639648,91447229
2021-06-17,2947.565918,3065.976074,2859.550781,2912.525635,2912.525635,78776933
2021-06-18,2914.960693,2914.960693,2577.992432,2686.795654,2686.795654,103226214
2021-06-19,2690.006348,2715.408447,2582.775391,2596.766602,2596.766602,80165256
2021-06-20,2587.693848,2744.282959,2451.653320,2707.933838,2707.933838,91854031
2021-06-21,2704.553711,2724.693848,2073.193604,2102.007813,2102.007813,143748987
2021-06-22,2097.735352,2396.488281,1930.591675,2261.647461,2261.647461,194542453
2021-06-23,2267.856934,2477.239502,2217.147217,2361.182373,2361.182373,140161347
2021-06-24,2315.545410,2330.381836,2071.487549,2235.185059,2235.185059,143390200
