Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,25.600275,30.396132,24.961107,27.085232,27.085232,2880611478
2021-05-10,27.273149,28.172571,21.916784,23.530760,23.530760,1288866157
2021-05-11,23.543161,26.623774,21.869858,26.396000,26.396000,1761503293
2021-05-12,26.564787,26.817144,19.688103,19.688103,19.688103,1067436427
2021-05-13,20.023708,21.736565,18.482128,20.769575,20.769575,1469744671
2021-05-14,20.752260,22.735878,20.054869,21.981640,21.981640,1107351314
2021-05-15,21.965288,22.179970,19.650068,19.925467,19.925467,933754695
2021-05-16,19.921272,21.799086,18.252253,19.318295,19.318295,824768005
2021-05-17,19.329563,19.329563,16.250450,17.407244,17.407244,995030110
2021-05-18,17.398375,18.675354,16.968548,18.025688,18.025688,680279580
2021-05-19,18.112427,18.146242,8.371839,11.002129,11.002129,1341868092
2021-05-20,10.922815,13.734053,9.699659,13.698452,13.698452,1431144636
2021-05-21,13.589076,14.036203,9.710485,11.125538,11.125538,1152552193
2021-05-22,11.153684,11.166491,9.254609,9.703707,9.703707,806488045
2021-05-23,9.714410,10.728399,6.437014,8.221524,8.221524,978744052
2021-05-24,8.145783,11.376427,7.678818,11.214042,11.214042,1068788830
2021-05-25,11.294803,12.759929,10.715702,11.570349,11.570349,1421997063
2021-05-26,11.605654,12.831232,11.341669,12.633498,12.633498,864912623
2021-05-27,12.630864,14.896578,12.255244,14.390745,14.390745,1251820480
2021-05-28,14.561872,14.561872,11.323302,12.173760,12.173760,891239296
2021-05-29,12.142078,12.906797,10.538891,11.259382,11.259382,646967209
2021-05-30,11.268728,11.878845,10.302757,11.428907,11.428907,531094514
2021-05-31,11.415039,12.421453,10.816697,12.421453,12.421453,525893214
2021-06-01,12.420988,12.605978,11.353410,11.813488,11.813488,437257785
2021-06-02,11.836698,12.387921,11.398763,12.106493,12.106493,403109414
2021-06-03,12.110008,12.747914,11.889225,12.395447,12.395447,432962127
2021-06-04,12.417898,12.592169,10.839307,11.309369,11.309369,463071749
2021-06-05,11.312420,11.754277,10.577786,10.939095,10.939095,351071132
2021-06-06,10.936464,11.187083,10.764338,11.118154,11.118154,273934015
2021-06-07,11.079454,11.265570,9.597640,9.686935,9.686935,337384964
2021-06-08,9.698858,9.888774,8.401081,9.417233,9.417233,439024930
2021-06-09,9.380857,9.953531,8.800817,9.923932,9.923932,383264968
2021-06-10,9.938335,10.644000,9.422337,9.713280,9.713280,437203760
2021-06-11,9.728393,9.827778,8.929409,9.062370,9.062370,294447537
2021-06-12,9.066364,9.066364,8.292230,8.591202,8.591202,259733464
2021-06-13,8.593877,9.273396,8.355080,9.249901,9.249901,275655956
2021-06-14,9.243706,9.473472,8.869285,9.181937,9.181937,279824063
2021-06-15,9.381036,9.601254,9.077181,9.418586,9.418586,260149049
2021-06-16,9.269739,9.269739,8.630502,8.692428,8.692428,225056699
2021-06-17,8.696993,9.047778,8.467507,8.637074,8.637074,182861497
2021-06-18,8.645025,8.645025,7.801983,8.038092,8.038092,204595890
2021-06-19,8.040021,8.106915,7.679817,7.712921,7.712921,182824127
2021-06-20,7.700544,7.700544,6.925055,7.576741,7.576741,224785648
2021-06-21,7.556803,7.605143,5.407045,5.479724,5.479724,315431417
2021-06-22,5.477026,5.889302,4.459300,4.990569,4.990569,363350171
2021-06-23,4.993261,6.037069,4.785984,5.752284,5.752284,312744384
