Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,0.223304,0.237098,0.209358,0.233757,0.233757,2303277847
2021-05-10,0.233770,0.239314,0.188777,0.202802,0.202802,2172670700
2021-05-11,0.202982,0.213315,0.195678,0.212827,0.212827,2017218810
2021-05-12,0.212768,0.214833,0.164562,0.164562,0.164562,2009703771
2021-05-13,0.167378,0.190018,0.158443,0.182071,0.182071,3086028058
2021-05-14,0.181906,0.192732,0.177720,0.186740,0.186740,1690827423
2021-05-15,0.186617,0.187745,0.170121,0.172095,0.172095,1614625945
2021-05-16,0.172340,0.192484,0.160351,0.176737,0.176737,2033029696
2021-05-17,0.176350,0.177331,0.149223,0.158021,0.158021,1890934542
2021-05-18,0.157592,0.171541,0.156453,0.162079,0.162079,1473736574
2021-05-19,0.162242,0.164342,0.068223,0.107669,0.107669,3454702256
2021-05-20,0.105323,0.145864,0.090340,0.131797,0.131797,2558614799
2021-05-21,0.130900,0.139134,0.090169,0.108660,0.108660,2093678100
2021-05-22,0.108573,0.111889,0.093559,0.099527,0.099527,1442149440
2021-05-23,0.099678,0.105495,0.065942,0.086936,0.086936,1936422717
2021-05-24,0.086481,0.117576,0.085687,0.111984,0.111984,1643873627
2021-05-25,0.112466,0.120179,0.104834,0.112363,0.112363,1451391633
2021-05-26,0.112826,0.140786,0.109965,0.133100,0.133100,1847952034
2021-05-27,0.133132,0.135692,0.119082,0.123299,0.123299,1189927887
2021-05-28,0.123692,0.125238,0.102830,0.108300,0.108300,1251620638
2021-05-29,0.108242,0.113749,0.092857,0.098990,0.098990,954502203
2021-05-30,0.098915,0.114379,0.093020,0.107572,0.107572,944816476
2021-05-31,0.107583,0.126158,0.102344,0.126158,0.126158,1099204273
2021-06-01,0.126073,0.129548,0.118057,0.120716,0.120716,982507747
2021-06-02,0.120701,0.131943,0.117262,0.125834,0.125834,908164506
2021-06-03,0.125882,0.145102,0.123508,0.142690,0.142690,1206422464
2021-06-04,0.143092,0.152797,0.120190,0.129297,0.129297,1834673568
2021-06-05,0.129156,0.141479,0.120714,0.125232,0.125232,1292109204
2021-06-06,0.125468,0.133851,0.124575,0.128627,0.128627,911866250
2021-06-07,0.128068,0.136442,0.113726,0.114423,0.114423,1021288398
2021-06-08,0.114716,0.118293,0.099930,0.113467,0.113467,1318667053
2021-06-09,0.112977,0.119982,0.105811,0.119982,0.119982,1119991466
2021-06-10,0.120066,0.121936,0.109424,0.111854,0.111854,900627272
2021-06-11,0.112026,0.114564,0.103549,0.104878,0.104878,786510169
2021-06-12,0.104865,0.107929,0.096929,0.106030,0.106030,784592087
2021-06-13,0.106339,0.115513,0.100160,0.112544,0.112544,613491927
2021-06-14,0.112400,0.116610,0.108700,0.113036,0.113036,633678086
2021-06-15,0.113462,0.115528,0.110157,0.113476,0.113476,684621996
2021-06-16,0.111392,0.114256,0.105746,0.107486,0.107486,623321359
2021-06-17,0.107560,0.111462,0.105056,0.107220,0.107220,532672785
2021-06-18,0.107270,0.107270,0.096468,0.099464,0.099464,640121511
2021-06-19,0.099688,0.102067,0.096908,0.097082,0.097082,500490018
2021-06-20,0.096674,0.100511,0.088466,0.098719,0.098719,618711444
2021-06-21,0.098441,0.098861,0.073108,0.073716,0.073716,733107112
2021-06-22,0.073435,0.080888,0.059846,0.071471,0.071471,1125820074
2021-06-23,0.071647,0.084343,0.068114,0.075765,0.075765,857491824
2021-06-24,0.076169,0.083071,0.072377,0.080545,0.080545,683575244
2021-06-25,0.080750,0.083133,0.071237,0.072382,0.072382,670392802
2021-06-26,0.072233,0.075761,0.069123,0.073849,0.073849,619431811
2021-06-27,0.074019,0.077942,0.071358,0.077833,0.077833,529222332
2021-06-28,0.077964,0.081683,0.075774,0.079242,0.079242,580990305
2021-06-29,0.079412,0.094973,0.078997,0.089783,0.089783,785711460
2021-06-30,0.089988,0.094323,0.081822,0.090610,0.090610,716132535
2021-07-01,0.091120,0.091120,0.082723,0.084599,0.084599,579426914
2021-07-02,0.084554,0.087539,0.082097,0.086743,0.086743,547688477
2021-07-03,0.086588,0.090192,0.084372,0.087386,0.087386,501234345
2021-07-04,0.087409,0.089982,0.084925,0.087804,0.087804,515840507
2021-07-05,0.087795,0.087795,0.081783,0.083408,0.083408,528925938
2021-07-06,0.083339,0.086957,0.083156,0.084528,0.084528,534920876
2021-07-07,0.084533,0.086073,0.083329,0.083428,0.083428,498619499
2021-07-08,0.083546,0.083720,0.075196,0.076189,0.076189,583597655
2021-07-09,0.076044,0.078232,0.072427,0.076859,0.076859,501775194
2021-07-10,0.077024,0.078739,0.074826,0.075949,0.075949,421312621
2021-07-11,0.075929,0.079057,0.075039,0.077629,0.077629,381513158
2021-07-12,0.077712,0.078911,0.073995,0.075172,0.075172,394884814
2021-07-13,0.075074,0.075716,0.071815,0.072889,0.072889,395005938
2021-07-14,0.072939,0.073691,0.068545,0.072562,0.072562,448040514
2021-07-15,0.072585,0.073784,0.067746,0.068845,0.068845,413616613
2021-07-16,0.069008,0.070399,0.065100,0.065396,0.065396,420820733
2021-07-17,0.065258,0.066567,0.063738,0.065496,0.065496,377437198
2021-07-18,0.065507,0.068848,0.065214,0.067558,0.067558,388298446
2021-07-19,0.067522,0.067723,0.061566,0.061660,0.061660,384683714
2021-07-20,0.061770,0.062830,0.056271,0.057831,0.057831,429875885
2021-07-21,0.057739,0.068280,0.056084,0.065914,0.065914,663822914
2021-07-22,0.065983,0.068928,0.064205,0.067719,0.067719,547430250
2021-07-23,0.067771,0.070974,0.064406,0.070974,0.070974,519843991
2021-07-24,0.070892,0.073441,0.069812,0.072312,0.072312,522933435
2021-07-25,0.072251,0.074279,0.069380,0.074279,0.074279,503846542
2021-07-26,0.074348,0.089586,0.073922,0.077904,0.077904,1285014565
2021-07-27,0.077663,0.087222,0.074796,0.083830,0.083830,927541174
2021-07-28,0.084126,0.086165,0.080522,0.082563,0.082563,764150830
