Date,Open,High,Low,Close,Adj Close,Volume
2021-05-09,475.817413,485.885712,447.893555,483.583618,483.583618,598455194
2021-05-10,483.709991,497.188049,425.809448,441.637360,441.637360,666267539
2021-05-11,441.247406,454.429291,420.487549,453.531128,453.531128,610337288
2021-05-12,453.210510,477.724548,392.382935,392.382935,392.382935,640553003
2021-05-13,396.697540,420.875153,370.651489,402.357483,402.357483,624563561
2021-05-14,402.503815,421.958313,397.716095,412.540405,412.540405,422174265
2021-05-15,412.669830,440.824310,382.015472,382.398895,382.398895,674489822
2021-05-16,382.135590,404.363647,372.267670,390.914673,390.914673,474889086
2021-05-17,390.812164,390.812164,333.035980,339.881836,339.881836,479550383
2021-05-18,339.454315,360.370728,327.667053,341.261597,341.261597,347828077
2021-05-19,341.577606,345.087250,153.369370,200.027191,200.027191,745701764
2021-05-20,198.251541,289.719421,182.123383,282.423370,282.423370,872530333
2021-05-21,281.016724,329.557281,227.988953,256.766418,256.766418,1171333242
2021-05-22,256.914886,262.490936,223.485779,231.613693,231.613693,663712170
2021-05-23,231.538177,261.058014,177.453949,227.929077,227.929077,715346434
2021-05-24,226.516830,256.811035,216.076233,255.367691,255.367691,470362123
2021-05-25,256.050110,264.968781,227.821106,247.113022,247.113022,429822335
2021-05-26,246.867615,270.207275,243.454788,268.578339,268.578339,366226752
2021-05-27,268.814880,269.393951,243.892334,250.669586,250.669586,320841925
2021-05-28,251.823349,266.450104,219.598236,262.820526,262.820526,483258612
2021-05-29,262.518463,296.696136,229.771744,242.684479,242.684479,648796097
2021-05-30,242.997574,267.651123,226.916153,262.333740,262.333740,314970461
2021-05-31,261.929169,275.835846,243.028961,272.919495,272.919495,282750686
2021-06-01,272.444733,275.657227,253.314728,265.774841,265.774841,303059899
2021-06-02,266.430206,294.981750,262.829163,294.092072,294.092072,301842321
2021-06-03,294.705811,315.664215,286.448242,308.188782,308.188782,366249438
2021-06-04,309.497406,310.881622,268.866943,287.463715,287.463715,403964500
2021-06-05,287.832581,295.111877,257.823822,264.308289,264.308289,338579839
2021-06-06,264.061188,276.784546,262.705383,272.594696,272.594696,231751973
2021-06-07,272.602844,281.447113,248.097427,248.933365,248.933365,262686065
2021-06-08,249.199646,255.850693,223.110504,254.875427,254.875427,365399076
2021-06-09,253.430450,275.362030,237.758194,274.331665,274.331665,370823882
2021-06-10,274.799530,282.705750,254.877762,255.355896,255.355896,314981209
2021-06-11,255.677429,258.262817,240.639694,242.981598,242.981598,241920364
2021-06-12,242.922409,251.802063,232.228455,242.960526,242.960526,191158127
2021-06-13,243.331329,261.361176,238.210159,261.194611,261.194611,172816271
2021-06-14,260.703461,275.500854,258.833191,269.935486,269.935486,187535189
2021-06-15,281.068817,283.230225,272.485199,279.495697,279.495697,248416884
2021-06-16,279.603760,288.409668,260.304077,262.218628,262.218628,222847776
2021-06-17,262.387634,281.438416,262.130615,277.109039,277.109039,194978104
2021-06-18,277.186981,279.950592,261.215363,264.844513,264.844513,277892540
2021-06-19,266.102173,282.374939,264.543274,270.520721,270.520721,264783505
2021-06-20,268.745178,271.275665,248.526764,264.600861,264.600861,223987999
2021-06-21,264.696136,265.738098,200.405411,203.361816,203.361816,342681698
2021-06-22,203.102097,225.796417,180.875534,201.531525,201.531525,394323770
2021-06-23,201.511826,223.708557,193.187286,212.463791,212.463791,308473089
2021-06-24,218.692596,226.702927,204.493958,225.068054,225.068054,245999721
2021-06-25,225.578598,227.436020,192.668900,196.503693,196.503693,299077901
2021-06-26,196.006149,202.777481,185.502319,202.777481,202.777481,215319243
